*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 06, 2014; 23:59:41
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
!                                                            NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-30   30-45   45-60   60-90     0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 1997 184    36     0     0     0.3    7.9    4.9    3.0    0.49    0.40    0.40    0.44    0.41    0.23    0.02    0.11    0.25    0.23    0.22    0.26    7.90    5.07    0.00    0.00    0.00    7.90    0.01
 1997 185    37     0     0     0.3    8.1    5.1    3.0    0.55    0.43    0.42    0.46    0.42    0.23    0.02    0.11    0.25    0.23    0.22    0.26    8.14    5.29    0.00    0.00    0.00    8.14    0.01
 1997 186    38     0     0     0.3    8.3    5.3    3.0    0.57    0.46    0.44    0.47    0.44    0.24    0.02    0.10    0.25    0.23    0.22    0.27    8.37    5.51    0.00    0.00    0.00    8.37    0.03
 1997 187    39     0     0     0.3    8.5    5.5    3.0    0.58    0.49    0.47    0.49    0.45    0.25    0.02    0.10    0.25    0.23    0.22    0.27    8.60    5.72    0.00    0.00    0.00    8.60    0.04
 1997 188    40     0     0     0.3    8.8    5.7    3.0    0.60    0.51    0.49    0.51    0.47    0.25    0.02    0.10    0.25    0.23    0.22    0.27    8.83    5.93    0.00    0.00    0.00    8.83    0.06
 1997 189    41     0     0     0.3    8.9    5.9    3.1    0.62    0.51    0.51    0.52    0.48    0.26    0.02    0.10    0.25    0.23    0.22    0.28    9.06    6.14    0.00    0.00    0.00    9.06    0.11
 1997 190    42     0     0     0.3    9.1    6.1    3.1    0.64    0.54    0.53    0.53    0.50    0.26    0.02    0.10    0.25    0.23    0.22    0.28    9.30    6.36    0.00    0.00    0.00    9.30    0.14
 1997 191    43     0     0     0.3    9.3    6.2    3.1    0.26    0.63    0.59    0.54    0.51    0.27    0.01    0.10    0.25    0.23    0.22    0.28    9.53    6.58    0.00    0.00    0.00    9.53    0.26
 1997 192    44     0     0     0.3    9.3    6.2    3.1    0.29    0.57    0.58    0.57    0.53    0.27    0.04    0.11    0.25    0.23    0.22    0.29    9.77    6.78    0.00    0.00    0.00    9.77    0.42
 1997 193    45     0     0     0.3    9.4    6.2    3.2    0.34    0.54    0.57    0.57    0.53    0.28    0.04    0.11    0.25    0.23    0.23    0.29   10.02    7.00    0.00    0.00    0.00   10.02    0.62
 1997 194    46     0     0     0.3    9.4    6.2    3.2    0.43    0.51    0.56    0.57    0.53    0.28    0.04    0.11    0.25    0.23    0.23    0.30   10.26    7.23    0.00    0.00    0.00   10.26    0.84
 1997 195    47     0     0     0.3    9.5    6.3    3.2    0.27    0.43    0.60    0.63    0.56    0.29    0.02    0.11    0.25    0.23    0.23    0.30   10.50    7.47    0.00    0.00    0.00   10.50    0.98
 1997 196    48     0     0     0.4    9.5    6.2    3.2    0.13    0.24    0.41    0.56    0.67    0.43    0.04    0.12    0.26    0.23    0.23    0.30   10.75    7.64    0.00    0.00    0.00   10.75    1.10
 1997 197    49     0     0     0.6    9.6    6.2    3.4    0.15    0.24    0.39    0.54    0.64    0.46    0.05    0.13    0.27    0.24    0.24    0.31   10.98    7.76    0.00    0.00    0.00   10.98    1.11
 1997 198    50     0     0     1.1    9.3    5.8    3.4    0.18    0.25    0.37    0.49    0.56    0.45    0.05    0.14    0.28    0.25    0.25    0.31   11.22    7.91    0.00    0.00    0.00   11.22    1.13
 1997 199    51     0     0     1.3    9.3    5.8    3.5    0.24    0.28    0.37    0.47    0.52    0.45    0.04    0.13    0.29    0.26    0.25    0.31   11.46    8.12    0.00    0.00    0.00   11.46    1.15
 1997 200    52     0     0     1.4    9.4    5.9    3.5    0.31    0.31    0.38    0.47    0.50    0.45    0.02    0.13    0.29    0.26    0.25    0.32   11.70    8.35    0.01    0.00    0.00   11.70    1.18
 1997 201    53     0     0     1.5    9.6    6.1    3.5    0.37    0.35    0.40    0.48    0.51    0.46    0.03    0.12    0.29    0.26    0.25    0.32   11.94    8.58    0.01    0.00    0.00   11.94    1.18
 1997 202    54     0     0     1.5    9.8    6.3    3.5    0.42    0.38    0.42    0.49    0.52    0.46    0.03    0.12    0.29    0.26    0.25    0.32   12.17    8.80    0.01    0.00    0.00   12.17    1.18
 1997 203    55     0     0     1.5   10.0    6.5    3.5    0.47    0.41    0.45    0.51    0.52    0.47    0.03    0.11    0.28    0.26    0.25    0.33   12.41    9.04    0.01    0.00    0.00   12.41    1.22
 1997 204    56     0     0     1.5   10.1    6.6    3.5    0.52    0.46    0.46    0.51    0.51    0.47    0.03    0.11    0.28    0.26    0.25    0.33   12.65    9.29    0.01    0.00    0.00   12.65    1.31
 1997 205    57     0     0     1.5   10.3    6.8    3.5    0.50    0.50    0.49    0.52    0.51    0.48    0.04    0.11    0.28    0.26    0.25    0.33   12.90    9.53    0.01    0.00    0.00   12.90    1.40
 1997 206    58     0     0     1.5   10.4    6.9    3.5    0.57    0.53    0.51    0.52    0.51    0.48    0.04    0.10    0.28    0.25    0.25    0.33   13.14    9.78    0.01    0.00    0.00   13.14    1.49
 1997 207    59     0     0     1.5   10.5    7.0    3.5    0.59    0.51    0.53    0.52    0.51    0.49    0.02    0.10    0.27    0.25    0.25    0.34   13.40   10.05    0.01    0.00    0.00   13.40    1.71
 1997 208    60     0     0     1.5   10.5    7.1    3.5    0.56    0.54    0.52    0.52    0.52    0.50    0.02    0.10    0.27    0.25    0.25    0.34   13.65   10.31    0.01    0.00    0.00   13.65    1.91
 1997 209    61     0     0     1.5   10.5    7.1    3.5    0.57    0.53    0.52    0.52    0.53    0.51    0.02    0.09    0.27    0.25    0.25    0.34   13.90   10.58    0.01    0.00    0.00   13.90    2.13
 1997 210    62     0     0     1.5   10.6    7.2    3.4    0.56    0.55    0.52    0.52    0.53    0.51    0.02    0.08    0.26    0.25    0.24    0.34   14.14   10.85    0.01    0.00    0.00   14.14    2.32
 1997 211    63     0     0     1.5   10.6    7.2    3.4    0.26    0.59    0.56    0.52    0.54    0.52    0.03    0.08    0.25    0.24    0.24    0.35   14.38   11.10    0.01    0.00    0.00   14.38    2.59
 1997 212    64     0     0     1.5   10.5    7.1    3.4    0.27    0.50    0.57    0.53    0.54    0.52    0.05    0.09    0.25    0.24    0.24    0.35   14.64   11.33    0.01    0.00    0.00   14.64    2.89
 1997 213    65     0     0     1.5   10.6    7.2    3.4    0.31    0.52    0.56    0.53    0.55    0.53    0.04    0.10    0.25    0.24    0.24    0.35   14.89   11.58    0.01    0.00    0.00   14.89    3.07
 1997 214    66     0     0     1.5   10.5    7.1    3.5    0.35    0.44    0.55    0.53    0.55    0.53    0.04    0.10    0.25    0.24    0.24    0.35   15.13   11.81    0.01    0.00    0.00   15.13    3.39
 1997 215    67     0     0     1.5   10.6    7.1    3.5    0.44    0.47    0.54    0.53    0.55    0.53    0.02    0.10    0.25    0.24    0.24    0.36   15.36   12.05    0.01    0.00    0.00   15.36    3.55
 1997 216    68     0     0     1.5   10.7    7.2    3.5    0.47    0.50    0.53    0.53    0.56    0.53    0.03    0.10    0.25    0.24    0.24    0.36   15.60   12.28    0.01    0.00    0.00   15.60    3.69
