*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 06, 2014; 23:59:41
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
!                                                            NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-30   30-45   45-60   60-90     0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 1997 207    31     0     0     0.5    6.9    4.2    2.8    0.54    0.44    0.36    0.33    0.32    0.17    0.02    0.10    0.24    0.22    0.22    0.23    7.15    4.49    0.00    0.00    0.00    7.15    0.01
 1997 208    32     0     0     0.5    7.2    4.4    2.8    0.57    0.46    0.38    0.35    0.34    0.18    0.02    0.09    0.24    0.22    0.22    0.24    7.40    4.73    0.00    0.00    0.00    7.40    0.01
 1997 209    33     0     0     0.5    7.4    4.6    2.8    0.60    0.49    0.41    0.37    0.35    0.18    0.02    0.09    0.24    0.22    0.22    0.24    7.65    4.96    0.00    0.00    0.00    7.65    0.02
 1997 210    34     0     0     0.5    7.7    4.8    2.8    0.57    0.55    0.43    0.39    0.37    0.19    0.02    0.09    0.24    0.22    0.22    0.25    7.90    5.20    0.00    0.00    0.00    7.90    0.02
 1997 211    35     0     0     0.5    7.9    5.0    2.9    0.30    0.54    0.53    0.43    0.39    0.19    0.03    0.09    0.24    0.22    0.22    0.25    8.15    5.43    0.00    0.00    0.00    8.15    0.06
 1997 212    36     0     0     0.5    8.1    5.2    2.9    0.34    0.50    0.52    0.46    0.41    0.21    0.04    0.10    0.24    0.22    0.22    0.25    8.41    5.64    0.00    0.00    0.00    8.41    0.13
 1997 213    37     0     0     0.5    8.3    5.4    2.9    0.40    0.52    0.52    0.48    0.43    0.21    0.03    0.10    0.24    0.22    0.22    0.26    8.65    5.86    0.00    0.00    0.00    8.65    0.17
 1997 214    38     0     0     0.5    8.4    5.5    2.9    0.49    0.51    0.52    0.49    0.44    0.22    0.02    0.10    0.24    0.22    0.22    0.26    8.89    6.08    0.00    0.00    0.00    8.89    0.25
 1997 215    39     0     0     0.5    8.6    5.6    3.0    0.52    0.51    0.52    0.51    0.46    0.22    0.02    0.10    0.24    0.22    0.22    0.27    9.12    6.29    0.00    0.00    0.00    9.12    0.33
 1997 216    40     0     0     0.5    8.7    5.7    3.0    0.54    0.51    0.53    0.52    0.47    0.23    0.02    0.10    0.24    0.22    0.22    0.27    9.36    6.51    0.00    0.00    0.00    9.36    0.42
 1997 217    41     0     0     0.6    8.7    5.7    3.0    0.14    0.31    0.45    0.57    0.58    0.31    0.02    0.10    0.24    0.22    0.22    0.28    9.59    6.72    0.00    0.00    0.00    9.59    0.50
 1997 218    42     0     0     1.0    8.6    5.5    3.1    0.18    0.30    0.42    0.51    0.52    0.34    0.04    0.11    0.25    0.23    0.23    0.28    9.84    6.88    0.00    0.00    0.00    9.84    0.52
 1997 219    43     0     0     1.1    8.7    5.6    3.1    0.23    0.32    0.42    0.50    0.51    0.36    0.03    0.11    0.26    0.23    0.23    0.28   10.08    7.08    0.00    0.00    0.00   10.08    0.53
 1997 220    44     0     0     1.1    9.0    5.8    3.1    0.30    0.36    0.44    0.52    0.52    0.36    0.02    0.10    0.26    0.23    0.23    0.29   10.33    7.31    0.00    0.00    0.00   10.33    0.53
 1997 221    45     0     0     1.1    9.2    6.0    3.2    0.39    0.39    0.46    0.52    0.52    0.36    0.02    0.10    0.26    0.23    0.23    0.29   10.56    7.54    0.00    0.00    0.00   10.56    0.58
 1997 222    46     0     0     1.1    9.4    6.2    3.2    0.42    0.42    0.48    0.53    0.53    0.37    0.02    0.10    0.25    0.23    0.23    0.29   10.80    7.77    0.00    0.00    0.00   10.80    0.63
 1997 223    47     0     0     1.1    9.6    6.4    3.2    0.46    0.44    0.50    0.53    0.54    0.38    0.02    0.10    0.25    0.23    0.23    0.30   11.04    8.00    0.00    0.00    0.00   11.04    0.68
 1997 224    48     0     0     1.1    9.7    6.6    3.2    0.49    0.47    0.53    0.54    0.55    0.38    0.02    0.10    0.25    0.23    0.23    0.30   11.28    8.23    0.00    0.00    0.00   11.28    0.73
 1997 225    49     0     0     1.1    9.9    6.7    3.2    0.52    0.50    0.53    0.54    0.56    0.39    0.01    0.09    0.25    0.23    0.23    0.30   11.52    8.47    0.00    0.00    0.00   11.52    0.85
 1997 226    50     0     0     1.1   10.0    6.8    3.2    0.54    0.53    0.53    0.55    0.57    0.40    0.01    0.09    0.25    0.23    0.23    0.31   11.75    8.70    0.00    0.00    0.00   11.75    0.96
 1997 227    51     0     0     1.1   10.1    6.9    3.2    0.57    0.53    0.53    0.55    0.57    0.41    0.01    0.09    0.25    0.23    0.23    0.31   11.99    8.93    0.00    0.00    0.00   11.99    1.11
 1997 228    52     0     0     1.1   10.1    6.9    3.2    0.56    0.53    0.53    0.55    0.58    0.41    0.02    0.08    0.25    0.23    0.23    0.31   12.22    9.15    0.00    0.00    0.00   12.22    1.28
 1997 229    53     0     0     1.1   10.2    7.0    3.2    0.59    0.54    0.53    0.56    0.59    0.42    0.02    0.08    0.25    0.23    0.23    0.32   12.45    9.38    0.00    0.00    0.00   12.45    1.43
 1997 230    54     0     0     1.1   10.3    7.1    3.2    0.12    0.27    0.55    0.70    0.67    0.45    0.02    0.07    0.24    0.23    0.23    0.32   12.68    9.61    0.00    0.00    0.00   12.68    1.57
 1997 231    55     0     0     1.4   10.1    6.8    3.3    0.13    0.27    0.48    0.63    0.64    0.49    0.03    0.09    0.25    0.23    0.23    0.32   12.94    9.79    0.00    0.00    0.00   12.94    1.72
 1997 232    56     0     0     1.4   10.2    6.9    3.3    0.20    0.30    0.50    0.62    0.63    0.49    0.02    0.09    0.26    0.24    0.23    0.33   13.20   10.03    0.00    0.00    0.00   13.20    1.84
 1997 233    57     0     0     1.4   10.3    7.0    3.3    0.15    0.28    0.50    0.63    0.65    0.51    0.03    0.09    0.25    0.23    0.23    0.33   13.46   10.29    0.00    0.00    0.00   13.46    1.95
 1997 234    58     0     0     1.6   10.3    7.0    3.4    0.19    0.29    0.49    0.59    0.63    0.53    0.04    0.10    0.26    0.24    0.23    0.33   13.73   10.50    0.00    0.00    0.00   13.73    2.09
 1997 235    59     0     0     1.6   10.4    7.1    3.3    0.27    0.33    0.52    0.58    0.62    0.53    0.02    0.10    0.26    0.23    0.23    0.33   14.00   10.79    0.00    0.00    0.00   14.00    2.24
 1997 236    60     0     0     1.6   10.4    7.1    3.4    0.30    0.37    0.49    0.57    0.62    0.53    0.03    0.10    0.25    0.23    0.23    0.34   14.26   11.05    0.00    0.00    0.00   14.26    2.52
 1997 237    61     0     0     1.6   10.6    7.2    3.4    0.21    0.39    0.53    0.58    0.63    0.54    0.02    0.10    0.25    0.23    0.23    0.34   14.53   11.32    0.00    0.00    0.00   14.53    2.66
 1997 238    62     0     0     1.6   10.5    7.1    3.4    0.25    0.40    0.49    0.57    0.63    0.55    0.04    0.10    0.25    0.23    0.23    0.34   14.81   11.57    0.00    0.00    0.00   14.81    2.96
 1997 239    63     0     0     1.6   10.6    7.3    3.4    0.25    0.42    0.52    0.56    0.63    0.55    0.02    0.10    0.25    0.23    0.23    0.34   15.08   11.85    0.00    0.00    0.00   15.08    3.12
 1997 240    64     0     0     1.6   10.6    7.2    3.4    0.28    0.44    0.48    0.55    0.62    0.55    0.04    0.10    0.25    0.23    0.23    0.35   15.35   12.10    0.00    0.00    0.00   15.35    3.45
 1997 241    65     0     0     1.6   10.7    7.3    3.4    0.21    0.42    0.51    0.56    0.62    0.57    0.03    0.10    0.25    0.23    0.23    0.35   15.62   12.37    0.00    0.00    0.00   15.62    3.62
 1997 242    66     0     0     1.7   10.5    7.1    3.4    0.26    0.42    0.46    0.53    0.60    0.57    0.04    0.11    0.25    0.23    0.23    0.35   15.89   12.60    0.00    0.00    0.00   15.89    3.95
 1997 243    67     0     0     1.7   10.6    7.2    3.4    0.34    0.45    0.48    0.51    0.59    0.57    0.02    0.10    0.25    0.23    0.23    0.35   16.15   12.88    0.00    0.00    0.00   16.15    4.12
 1997 244    68     0     0     1.7   10.7    7.3    3.4    0.38    0.49    0.50    0.50    0.58    0.58    0.03    0.10    0.25    0.23    0.23    0.35   16.42   13.13    0.00    0.00    0.00   16.42    4.29
 1997 245    69     0     0     1.7   10.9    7.4    3.4    0.42    0.52    0.53    0.52    0.58    0.58    0.02    0.10    0.25    0.23    0.23    0.36   16.69   13.40    0.00    0.00    0.00   16.69    4.37
 1997 246    70     0     0     1.7   10.7    7.3    3.4    0.46    0.47    0.50    0.51    0.57    0.58    0.02    0.10    0.25    0.23    0.23    0.36   16.95   13.66    0.00    0.00    0.00   16.95    4.77
 1997 247    71     0     0     1.7   10.9    7.5    3.4    0.46    0.51    0.52    0.53    0.57    0.58    0.02    0.10    0.25    0.23    0.23    0.36   17.20   13.90    0.00    0.00    0.00   17.20    4.85
 1997 248    72     0     0     1.7   10.8    7.3    3.5    0.22    0.43    0.57    0.55    0.56    0.59    0.03    0.10    0.25    0.23    0.23    0.36   17.46   14.15    0.00    0.00    0.00   17.46    5.22
 1997 249    73     0     0     1.7   10.7    7.2    3.5    0.25    0.41    0.50    0.55    0.57    0.59    0.04    0.11    0.25    0.23    0.23    0.37   17.73   14.38    0.00    0.00    0.00   17.73    5.59
 1997 250    74     0     0     1.7   10.8    7.3    3.5    0.31    0.45    0.52    0.53    0.57    0.59    0.02    0.11    0.25    0.23    0.23    0.37   17.99   14.64    0.00    0.00    0.00   17.99    5.78
 1997 251    75     0     0     1.8   10.6    7.1    3.5    0.16    0.33    0.47    0.55    0.60    0.61    0.03    0.11    0.25    0.23    0.23    0.37   18.26   14.89    0.00    0.00    0.00   18.26    6.13
 1997 252    76     0     0     2.0   10.5    7.0    3.6    0.11    0.27    0.42    0.53    0.60    0.64    0.04    0.11    0.26    0.23    0.24    0.37   18.52   15.10    0.00    0.00    0.00   18.52    6.32
 1997 253    77     0     0     2.2   10.4    6.8    3.6    0.13    0.26    0.40    0.49    0.57    0.64    0.05    0.12    0.27    0.24    0.24    0.37   18.80   15.30    0.00    0.00    0.00   18.80    6.45
 1997 254    78     0     0     2.6   10.2    6.5    3.7    0.16    0.28    0.40    0.47    0.52    0.62    0.05    0.12    0.28    0.25    0.24    0.38   19.07   15.52    0.00    0.00    0.00   19.07    6.54
 1997 255    79     0     0     2.7   10.3    6.6    3.7    0.23    0.32    0.42    0.48    0.50    0.61    0.02    0.12    0.28    0.25    0.24    0.38   19.33   15.80    0.00    0.00    0.00   19.33    6.64
 1997 256    80     0     0     2.9   10.3    6.7    3.7    0.11    0.22    0.37    0.52    0.56    0.64    0.03    0.11    0.28    0.25    0.24    0.38   19.60   16.07    0.00    0.00    0.00   19.60    6.67
 1997 257    81     0     0     3.4    9.9    6.2    3.7    0.14    0.23    0.35    0.46    0.50    0.60    0.04    0.12    0.28    0.25    0.25    0.38   19.88   16.27    0.00    0.00    0.00   19.88    6.81
 1997 258    82     0     0     3.5   10.1    6.4    3.7    0.16    0.25    0.37    0.47    0.52    0.61    0.02    0.12    0.28    0.26    0.25    0.38   20.15   16.54    0.00    0.00    0.00   20.15    6.84
 1997 259    83     0     0     3.6   10.2    6.4    3.8    0.18    0.28    0.39    0.48    0.49    0.60    0.04    0.12    0.29    0.26    0.25    0.39   20.42   16.79    0.00    0.00    0.00   20.42    6.95
 1997 260    84     0     0     3.6   10.4    6.6    3.7    0.15    0.28    0.42    0.51    0.53    0.61    0.02    0.11    0.28    0.25    0.25    0.39   20.70   17.09    0.00    0.00    0.00   20.70    6.98
 1997 261    85     0     0     3.8   10.3    6.5    3.8    0.10    0.24    0.40    0.50    0.53    0.62    0.04    0.12    0.29    0.26    0.25    0.39   20.98   17.33    0.00    0.00    0.00   20.98    7.19
 1997 262    86     0     0     4.2   10.0    6.2    3.8    0.12    0.24    0.37    0.47    0.48    0.59    0.05    0.13    0.29    0.26    0.25    0.39   21.24   17.54    0.00    0.00    0.00   21.24    7.29
 1997 263    87     0     0     4.3   10.2    6.3    3.8    0.18    0.27    0.39    0.48    0.50    0.59    0.04    0.12    0.30    0.26    0.25    0.39   21.51   17.80    0.00    0.00    0.00   21.51    7.32
 1997 264    88     0     0     4.3   10.4    6.6    3.8    0.23    0.31    0.41    0.50    0.51    0.59    0.03    0.12    0.29    0.26    0.25    0.39   21.78   18.09    0.00    0.00    0.00   21.78    7.36
 1997 265    89     0     0     4.3   10.5    6.7    3.8    0.14    0.27    0.44    0.54    0.53    0.60    0.03    0.11    0.29    0.26    0.25    0.40   22.05   18.37    0.00    0.00    0.00   22.05    7.46
 1997 266    90     0     0     4.5   10.4    6.5    3.9    0.16    0.28    0.43    0.50    0.50    0.60    0.04    0.12    0.29    0.26    0.25    0.40   22.32   18.60    0.00    0.00    0.00   22.32    7.68
 1997 267    91     0     0     4.6   10.6    6.7    3.9    0.18    0.30    0.44    0.52    0.53    0.60    0.04    0.12    0.30    0.26    0.25    0.40   22.60   18.88    0.00    0.00    0.00   22.60    7.71
 1997 268    92     0     0     4.6   10.6    6.8    3.9    0.21    0.34    0.47    0.49    0.51    0.60    0.04    0.12    0.29    0.26    0.25    0.40   22.88   19.16    0.00    0.00    0.00   22.88    7.94
 1997 269    93     0     0     4.6   10.8    6.9    3.8    0.26    0.38    0.50    0.51    0.50    0.60    0.04    0.11    0.29    0.26    0.25    0.40   23.15   19.45    0.00    0.00    0.00   23.15    8.06
 1997 270    94     0     0     5.2   10.3    6.5    3.8    0.11    0.20    0.36    0.47    0.54    0.66    0.02    0.11    0.29    0.26    0.25    0.40   23.42   19.74    0.00    0.00    0.00   23.42    8.20
 1997 271    95     0     0     5.8    9.9    6.0    3.9    0.14    0.21    0.34    0.43    0.48    0.60    0.04    0.12    0.29    0.26    0.25    0.40   23.69   19.94    0.00    0.00    0.00   23.69    8.26
 1997 272    96     0     0     5.9   10.1    6.2    3.9    0.19    0.25    0.37    0.45    0.48    0.59    0.02    0.11    0.29    0.26    0.25    0.41   23.98   20.24    0.00    0.00    0.00   23.98    8.29
 1997 273    97     0     0     5.9   10.3    6.4    3.9    0.22    0.30    0.40    0.47    0.50    0.59    0.04    0.11    0.29    0.26    0.25    0.41   24.26   20.53    0.00    0.00    0.00   24.26    8.33
 1997 274    98     0     0     5.9   10.6    6.7    3.8    0.29    0.34    0.43    0.49    0.53    0.59    0.02    0.10    0.28    0.26    0.25    0.41   24.56   20.87    0.00    0.00    0.00   24.56    8.36
 1997 275    99     0     0     5.9   10.8    7.0    3.8    0.16    0.33    0.49    0.55    0.53    0.60    0.03    0.10    0.28    0.25    0.25    0.41   24.85   21.19    0.00    0.00    0.00   24.85    8.47
 1997 276   100     0     0     6.0   10.7    6.9    3.8    0.20    0.33    0.50    0.52    0.52    0.60    0.04    0.11    0.28    0.25    0.24    0.41   25.15   21.48    0.00    0.00    0.00   25.15    8.71
 1997 277   101     0     0     6.0   10.8    7.0    3.8    0.27    0.37    0.53    0.50    0.51    0.60    0.02    0.11    0.27    0.25    0.24    0.41   25.44   21.81    0.00    0.00    0.00   25.44    8.93
 1997 278   102     0     0     6.2   10.5    6.8    3.8    0.11    0.24    0.39    0.54    0.57    0.64    0.03    0.10    0.27    0.24    0.24    0.41   25.72   22.10    0.00    0.00    0.00   25.72    9.24
 1997 279   103     0     0     6.5   10.4    6.5    3.8    0.09    0.22    0.36    0.49    0.54    0.64    0.04    0.11    0.28    0.25    0.25    0.41   26.00   22.29    0.00    0.00    0.00   26.00    9.37
 1997 280   104     0     0     7.1   10.0    6.1    3.9    0.13    0.23    0.35    0.46    0.49    0.60    0.04    0.12    0.29    0.26    0.25    0.41   26.27   22.51    0.00    0.00    0.00   26.27    9.45
 1997 281   105     0     0     7.1   10.2    6.3    3.9    0.19    0.27    0.37    0.47    0.50    0.60    0.02    0.12    0.29    0.26    0.25    0.41   26.54   22.79    0.00    0.00    0.00   26.54    9.49
 1997 282   106     0     0     7.1   10.4    6.5    3.9    0.22    0.31    0.40    0.48    0.51    0.60    0.04    0.11    0.29    0.26    0.25    0.42   26.81   23.06    0.00    0.00    0.00   26.81    9.52
 1997 283   107     0     0     7.1   10.6    6.7    3.9    0.28    0.34    0.43    0.51    0.50    0.60    0.02    0.11    0.28    0.26    0.25    0.42   27.09   23.35    0.00    0.00    0.00   27.09    9.63
 1997 284   108     0     0     7.1   10.8    7.0    3.9    0.33    0.38    0.45    0.53    0.52    0.60    0.03    0.11    0.28    0.25    0.25    0.42   27.36   23.65    0.00    0.00    0.00   27.36    9.67
 1997 285   109     0     0     7.1   10.9    7.1    3.8    0.39    0.42    0.48    0.51    0.51    0.60    0.02    0.10    0.28    0.25    0.25    0.42   27.64   23.95    0.00    0.00    0.00   27.64    9.86
 1997 286   110     0     0     7.1   11.0    7.2    3.8    0.43    0.45    0.51    0.50    0.51    0.61    0.02    0.10    0.27    0.25    0.24    0.42   27.92   24.25    0.00    0.00    0.00   27.92   10.04
 1997 287   111     0     0     7.1   11.3    7.5    3.8    0.47    0.49    0.54    0.52    0.53    0.61    0.02    0.09    0.27    0.24    0.24    0.42   28.19   24.55    0.00    0.00    0.00   28.19   10.08
 1997 288   112     0     0     7.1   11.2    7.5    3.7    0.22    0.57    0.57    0.51    0.53    0.61    0.02    0.09    0.26    0.24    0.24    0.42   28.45   24.85    0.00    0.00    0.00   28.45   10.36
 1997 289   113     0     0     7.1   11.0    7.2    3.7    0.24    0.43    0.54    0.51    0.53    0.62    0.04    0.09    0.26    0.24    0.24    0.42   28.74   25.12    0.00    0.00    0.00   28.74   10.89
 1997 290   114     0     0     7.1   11.1    7.4    3.7    0.32    0.46    0.52    0.53    0.53    0.62    0.02    0.09    0.26    0.24    0.24    0.42   29.02   25.43    0.00    0.00    0.00   29.02   11.09
 1997 291   115     0     0     7.1   11.1    7.4    3.7    0.16    0.42    0.58    0.55    0.53    0.62    0.03    0.09    0.25    0.23    0.24    0.42   29.29   25.72    0.00    0.00    0.00   29.29   11.33
 1997 292   116     0     0     7.1   11.0    7.3    3.7    0.18    0.40    0.49    0.59    0.53    0.63    0.04    0.11    0.25    0.23    0.23    0.42   29.57   25.98    0.00    0.00    0.00   29.57   11.71
 1997 293   117     0     0     7.1   11.1    7.4    3.7    0.24    0.43    0.52    0.57    0.54    0.63    0.03    0.11    0.25    0.23    0.23    0.42   29.85   26.27    0.00    0.00    0.00   29.85   11.88
 1997 294   118     0     0     7.1   11.0    7.3    3.7    0.30    0.46    0.47    0.55    0.54    0.63    0.02    0.10    0.25    0.23    0.23    0.42   30.13   26.57    0.00    0.00    0.00   30.13   12.23
 1997 295   119     0     0     7.1   11.2    7.5    3.7    0.33    0.50    0.49    0.54    0.54    0.64    0.03    0.10    0.25    0.23    0.23    0.42   30.41   26.85    0.00    0.00    0.00   30.41   12.38
 1997 296   120     0     0     7.1   11.3    7.6    3.7    0.38    0.53    0.52    0.53    0.55    0.64    0.02    0.10    0.25    0.23    0.23    0.42   30.68   27.13    0.00    0.00    0.00   30.68   12.52
 1997 297   121     0     0     7.1   11.2    7.5    3.7    0.29    0.54    0.49    0.52    0.56    0.64    0.02    0.10    0.25    0.23    0.23    0.42   30.94   27.41    0.00    0.00    0.00   30.94   12.89
 1997 298   122     0     0     7.1   11.2    7.5    3.7    0.30    0.45    0.52    0.52    0.57    0.65    0.04    0.10    0.25    0.23    0.22    0.42   31.22   27.69    0.00    0.00    0.00   31.22   13.20

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 06, 2014; 23:59:41
                                                                                
*RUN   5        : 97 DATE3 CHINESE          CRGRO045 GHNY9701    5              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  5   : 97 DATE3 CHINESE          CRGRO045                            
  
!                                                            NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-30   30-45   45-60   60-90     0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 1997 204     0     0     0     0.0    0.3    0.1    0.1    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 1997 205     1     0     0     0.0    0.5    0.2    0.3    0.02    0.01    0.01    0.01    0.01    0.01    0.02    0.03    0.03    0.03    0.03    0.02    0.21    0.02    0.00    0.00    0.00    0.21    0.00
 1997 206     2     0     0     0.0    0.7    0.2    0.5    0.05    0.02    0.01    0.01    0.01    0.01    0.01    0.04    0.04    0.04    0.04    0.03    0.41    0.07    0.00    0.00    0.00    0.41    0.00
 1997 207     3     0     0     0.0    0.9    0.3    0.6    0.07    0.04    0.02    0.02    0.02    0.01    0.01    0.05    0.05    0.05    0.05    0.04    0.62    0.13    0.00    0.00    0.00    0.62    0.00
 1997 208     4     0     0     0.0    1.1    0.3    0.8    0.09    0.05    0.02    0.02    0.02    0.01    0.01    0.05    0.06    0.06    0.07    0.05    0.82    0.20    0.00    0.00    0.00    0.82    0.00
 1997 209     5     0     0     0.0    1.3    0.4    0.9    0.10    0.07    0.03    0.03    0.03    0.01    0.01    0.05    0.07    0.08    0.08    0.06    1.03    0.28    0.00    0.00    0.00    1.03    0.00
 1997 210     6     0     0     0.0    1.5    0.5    1.0    0.12    0.09    0.04    0.03    0.03    0.01    0.01    0.06    0.08    0.09    0.09    0.07    1.24    0.38    0.00    0.00    0.00    1.24    0.00
 1997 211     7     0     0     0.0    1.7    0.6    1.1    0.07    0.12    0.06    0.04    0.04    0.02    0.02    0.06    0.09    0.10    0.10    0.07    1.46    0.48    0.00    0.00    0.00    1.46    0.00
 1997 212     8     0     0     0.0    2.0    0.7    1.2    0.10    0.13    0.07    0.05    0.05    0.02    0.03    0.07    0.10    0.11    0.11    0.08    1.69    0.58    0.00    0.00    0.00    1.69    0.00
 1997 213     9     0     0     0.0    2.2    0.8    1.3    0.14    0.14    0.08    0.06    0.06    0.02    0.02    0.07    0.11    0.12    0.12    0.09    1.92    0.71    0.00    0.00    0.00    1.92    0.00
 1997 214    10     0     0     0.0    2.4    1.0    1.5    0.18    0.16    0.09    0.07    0.06    0.02    0.02    0.08    0.12    0.12    0.13    0.10    2.14    0.82    0.00    0.00    0.00    2.14    0.00
 1997 215    11     0     0     0.0    2.6    1.1    1.6    0.21    0.18    0.10    0.07    0.07    0.02    0.02    0.08    0.13    0.13    0.14    0.11    2.36    0.95    0.00    0.00    0.00    2.36    0.00
 1997 216    12     0     0     0.0    2.9    1.2    1.6    0.24    0.20    0.11    0.08    0.08    0.03    0.02    0.08    0.14    0.14    0.14    0.11    2.59    1.08    0.00    0.00    0.00    2.59    0.00
 1997 217    13     0     0     0.0    3.1    1.4    1.7    0.08    0.14    0.13    0.14    0.12    0.04    0.02    0.09    0.15    0.14    0.15    0.12    2.82    1.23    0.00    0.00    0.00    2.82    0.00
 1997 218    14     0     0     0.1    3.3    1.4    1.9    0.11    0.14    0.13    0.13    0.12    0.05    0.03    0.10    0.16    0.16    0.16    0.13    3.06    1.33    0.00    0.00    0.00    3.06    0.00
 1997 219    15     0     0     0.1    3.5    1.6    1.9    0.15    0.16    0.13    0.14    0.13    0.06    0.03    0.10    0.17    0.16    0.16    0.14    3.30    1.48    0.00    0.00    0.00    3.30    0.00
 1997 220    16     0     0     0.1    3.7    1.7    2.0    0.21    0.19    0.15    0.15    0.14    0.06    0.02    0.10    0.18    0.17    0.17    0.14    3.53    1.65    0.00    0.00    0.00    3.53    0.00
 1997 221    17     0     0     0.1    4.0    1.9    2.1    0.29    0.21    0.16    0.16    0.15    0.07    0.02    0.10    0.18    0.17    0.17    0.15    3.77    1.82    0.00    0.00    0.00    3.77    0.00
 1997 222    18     0     0     0.1    4.2    2.1    2.1    0.32    0.23    0.18    0.17    0.16    0.07    0.02    0.09    0.19    0.18    0.18    0.16    4.00    1.99    0.00    0.00    0.00    4.00    0.00
 1997 223    19     0     0     0.1    4.4    2.2    2.2    0.35    0.26    0.19    0.19    0.17    0.07    0.02    0.09    0.19    0.18    0.18    0.16    4.24    2.17    0.00    0.00    0.00    4.24    0.00
 1997 224    20     0     0     0.1    4.7    2.4    2.3    0.38    0.29    0.21    0.20    0.19    0.08    0.02    0.09    0.20    0.19    0.19    0.17    4.48    2.36    0.00    0.00    0.00    4.48    0.00
 1997 225    21     0     0     0.1    4.9    2.6    2.3    0.40    0.32    0.23    0.22    0.20    0.08    0.02    0.09    0.20    0.19    0.19    0.18    4.72    2.55    0.00    0.00    0.00    4.72    0.00
 1997 226    22     0     0     0.1    5.2    2.8    2.4    0.43    0.35    0.25    0.23    0.22    0.08    0.01    0.09    0.21    0.19    0.19    0.18    4.96    2.74    0.00    0.00    0.00    4.96    0.00
 1997 227    23     0     0     0.1    5.4    3.0    2.4    0.45    0.37    0.27    0.25    0.23    0.09    0.01    0.09    0.21    0.19    0.20    0.19    5.19    2.93    0.00    0.00    0.00    5.19    0.00
 1997 228    24     0     0     0.1    5.6    3.2    2.4    0.48    0.40    0.29    0.26    0.25    0.09    0.03    0.09    0.21    0.20    0.20    0.19    5.44    3.12    0.00    0.00    0.00    5.44    0.00
 1997 229    25     0     0     0.1    5.9    3.4    2.5    0.51    0.43    0.31    0.28    0.26    0.10    0.02    0.09    0.21    0.20    0.20    0.20    5.68    3.33    0.00    0.00    0.00    5.68    0.00
 1997 230    26     0     0     0.1    6.1    3.5    2.5    0.12    0.26    0.32    0.35    0.34    0.15    0.02    0.09    0.22    0.20    0.20    0.21    5.92    3.53    0.00    0.00    0.00    5.92    0.00
 1997 231    27     0     0     0.3    6.1    3.5    2.6    0.18    0.26    0.30    0.32    0.31    0.18    0.03    0.10    0.23    0.21    0.21    0.21    6.17    3.68    0.00    0.00    0.00    6.17    0.00
 1997 232    28     0     0     0.4    6.3    3.7    2.7    0.28    0.29    0.31    0.32    0.31    0.19    0.02    0.10    0.23    0.21    0.21    0.22    6.42    3.89    0.00    0.00    0.00    6.42    0.00
 1997 233    29     0     0     0.4    6.6    3.9    2.7    0.21    0.29    0.34    0.36    0.33    0.20    0.02    0.10    0.23    0.21    0.21    0.22    6.68    4.11    0.00    0.00    0.00    6.68    0.00
 1997 234    30     0     0     0.4    6.8    4.0    2.8    0.30    0.29    0.33    0.36    0.33    0.21    0.03    0.10    0.24    0.22    0.22    0.23    6.93    4.31    0.00    0.00    0.00    6.93    0.00
 1997 235    31     0     0     0.4    7.0    4.3    2.8    0.40    0.33    0.35    0.37    0.35    0.22    0.02    0.10    0.24    0.22    0.22    0.23    7.19    4.56    0.00    0.00    0.00    7.19    0.00
 1997 236    32     0     0     0.4    7.3    4.5    2.8    0.45    0.36    0.37    0.39    0.36    0.22    0.02    0.10    0.24    0.22    0.22    0.24    7.45    4.80    0.00    0.00    0.00    7.45    0.00
