*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:34
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 1997 214    67    65    75.4     9.5    55.7    4.39    2.83     81.3     3.5    35.8    19.9    4.19    1.78     2.5    1.6    3.3    1.48    1.01
 1997 215    68    66    78.5    10.8    56.9    4.41    2.81     84.4     3.6    36.5    20.4    4.18    1.78     2.4    1.6    3.1    1.56    1.05
 1997 216    69    67    80.3    12.2    56.7    4.42    2.78     86.0     3.9    36.3    20.4    4.14    1.75     2.4    1.6    1.7    1.64    1.10
 1997 217    70    68    82.6    13.7    56.8    4.41    2.75     88.2     4.0    36.3    20.5    4.11    1.74     2.4    1.6    2.1    1.73    1.14
 1997 218    71    69    83.4    15.3    56.2    4.39    2.71     88.8     4.3    35.9    20.3    4.07    1.71     2.4    1.6    0.6    1.81    1.17
 1997 219    72    70    85.4    17.1    56.0    4.39    2.69     90.7     4.5    35.7    20.3    4.03    1.69     2.3    1.5    1.9    1.89    1.21
 1997 220    73    71    88.5    19.0    56.6    4.38    2.67     93.8     4.6    35.9    20.7    4.02    1.68     2.3    1.5    3.1    1.97    1.25
 1997 221    74    72    90.6    21.0    56.4    4.40    2.63     95.8     4.8    35.7    20.6    3.98    1.66     2.3    1.5    2.1    2.06    1.29
 1997 222    75    73    93.6    23.2    56.6    4.40    2.61     98.7     4.9    35.8    20.8    3.95    1.65     2.3    1.5    2.9    2.14    1.33
 1997 223    76    74    96.5    25.5    56.7    4.40    2.58    101.4     5.2    35.7    20.9    3.92    1.63     2.2    1.5    2.7    2.22    1.36
 1997 224    77    75    98.9    27.9    56.6    4.40    2.56    103.8     5.3    35.6    21.0    3.89    1.62     2.2    1.5    2.4    2.30    1.40
 1997 225    78    76   101.5    30.4    56.4    4.41    2.53    106.2     5.5    35.4    21.0    3.86    1.60     2.2    1.4    2.4    2.38    1.44
 1997 226    79    77   103.9    33.0    56.3    4.42    2.50    108.5     5.7    35.2    21.0    3.83    1.58     2.1    1.4    2.2    2.46    1.48
 1997 227    80    78   104.8    35.6    55.0    4.49    2.43    109.2     5.9    34.5    20.5    3.75    1.53     2.1    1.4    0.7    2.54    1.51
 1997 228    81    79   107.5    38.7    54.5    4.53    2.39    111.7     6.1    34.1    20.4    3.70    1.50     2.0    1.4    2.5    2.61    1.55
 1997 229    82    80   109.3    42.2    53.3    4.61    2.32    113.3     6.3    33.4    19.9    3.63    1.45     2.0    1.3    1.6    2.69    1.58
