*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:34
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:35
                                                                                
*RUN   4        : 97 DATE2 F-MIX            CRGRO045 GHNY9701    4              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  4   : 97 DATE2 F-MIX            CRGRO045                            
  
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 1997 177     2     0     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 178     3     1     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 179     4     2     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 180     5     3     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 181     6     4     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 182     7     5     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 183     8     6     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 184     9     7     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 185    10     8     0.6     0.0     0.6    0.00    4.84      0.1     0.0     0.6     0.1    5.36    2.56     0.0    2.3    0.0    0.00    0.01
 1997 186    11     9     0.7     0.0     0.7    0.00    4.77      0.1     0.0     0.6     0.1    5.27    2.51     0.0    2.2    0.0    0.00    0.01
 1997 187    12    10     0.7     0.0     0.7    0.00    4.79      0.1     0.0     0.7     0.1    5.29    2.51     0.0    2.2    0.0    0.00    0.01
 1997 188    13    11     0.8     0.0     0.8    0.00    4.79      0.2     0.0     0.8     0.1    5.27    2.48     0.0    2.2    0.1    0.00    0.01
 1997 189    14    12     0.9     0.0     0.9    0.00    4.64      0.3     0.0     0.9     0.1    5.07    2.41     0.0    2.1    0.1    0.00    0.02
 1997 190    15    13     1.0     0.0     1.0    0.00    4.49      0.4     0.0     0.9     0.1    4.93    2.28     0.0    2.0    0.1    0.00    0.02
 1997 191    16    14     1.1     0.0     1.1    0.00    4.46      0.5     0.0     1.0     0.1    4.92    2.29     0.0    2.0    0.1    0.01    0.02
 1997 192    17    15     1.3     0.0     1.3    0.00    4.40      0.6     0.0     1.1     0.1    4.90    2.29     0.0    2.0    0.1    0.01    0.03
 1997 193    18    16     1.4     0.0     1.4    0.00    4.23      0.8     0.0     1.2     0.1    4.79    2.15     0.0    1.9    0.1    0.01    0.03
 1997 194    19    17     1.5     0.0     1.5    0.00    4.05      1.0     0.0     1.3     0.2    4.71    2.03     0.0    1.9    0.2    0.01    0.03
 1997 195    20    18     1.7     0.0     1.7    0.00    3.95      1.2     0.0     1.4     0.2    4.68    2.08     0.0    1.9    0.2    0.01    0.04
 1997 196    21    19     1.8     0.0     1.8    0.00    3.91      1.4     0.0     1.5     0.3    4.69    2.15     0.0    1.9    0.2    0.01    0.04
 1997 197    22    20     2.0     0.0     2.0    0.00    3.92      1.6     0.0     1.6     0.3    4.72    2.17     0.0    1.9    0.2    0.02    0.05
 1997 198    23    21     2.2     0.0     2.2    0.00    3.81      1.9     0.0     1.8     0.4    4.62    2.12     0.0    1.8    0.2    0.02    0.05
 1997 199    24    22     2.4     0.0     2.4    0.00    3.74      2.2     0.0     2.0     0.5    4.57    2.10     0.0    1.8    0.3    0.02    0.06
 1997 200    25    23     2.7     0.0     2.7    0.00    3.69      2.6     0.0     2.2     0.5    4.53    2.09     0.0    1.8    0.3    0.02    0.06
 1997 201    26    24     3.1     0.0     3.1    0.00    3.72      3.0     0.0     2.5     0.6    4.59    2.13     0.0    1.8    0.4    0.03    0.07
 1997 202    27    25     3.4     0.0     3.4    0.00    3.73      3.3     0.0     2.7     0.7    4.62    2.16     0.0    1.8    0.3    0.03    0.08
 1997 203    28    26     3.8     0.0     3.8    0.00    3.58      3.9     0.0     3.0     0.8    4.49    2.05     0.0    1.8    0.4    0.03    0.08
 1997 204    29    27     4.3     0.0     4.3    0.00    3.52      4.5     0.0     3.3     0.9    4.44    2.03     0.0    1.7    0.5    0.04    0.09
 1997 205    30    28     4.8     0.0     4.8    0.00    3.50      5.2     0.0     3.7     1.1    4.45    2.05     0.0    1.7    0.6    0.04    0.10
 1997 206    31    29     5.5     0.0     5.5    0.00    3.47      6.0     0.0     4.2     1.3    4.44    2.05     0.0    1.7    0.7    0.05    0.10
 1997 207    32    30     6.2     0.0     6.2    0.00    3.45      7.0     0.0     4.7     1.6    4.45    2.06     0.0    1.7    0.8    0.05    0.11
 1997 208    33    31     7.1     0.0     7.1    0.00    3.46      8.0     0.0     5.3     1.8    4.48    2.08     0.0    1.7    0.9    0.06    0.12
 1997 209    34    32     8.0     0.0     8.0    0.00    3.45      9.2     0.0     5.9     2.1    4.49    2.09     0.0    1.7    1.0    0.07    0.13
 1997 210    35    33     9.0     0.0     9.0    0.00    3.48     10.2     0.1     6.6     2.4    4.54    2.12     0.0    1.8    1.0    0.08    0.14
 1997 211    36    34     9.9     0.0     9.9    0.00    3.49     11.1     0.1     7.2     2.7    4.58    2.14     0.0    1.8    0.9    0.09    0.15
 1997 212    37    35    10.8     0.0    10.8    0.00    3.50     12.0     0.2     7.8     3.0    4.61    2.15     0.0    1.8    0.9    0.10    0.16
 1997 213    38    36    11.9     0.0    11.9    0.00    3.51     13.2     0.3     8.5     3.3    4.64    2.17     0.0    1.8    1.1    0.11    0.17
 1997 214    39    37    13.0     0.0    13.0    0.00    3.43     14.7     0.3     9.3     3.7    4.56    2.12     0.0    1.8    1.2    0.12    0.18
 1997 215    40    38    14.4     0.0    14.4    0.00    3.40     16.4     0.4    10.3     4.2    4.55    2.10     0.0    1.8    1.5    0.13    0.20
 1997 216    41    39    15.9     0.0    15.9    0.00    3.41     17.8     0.6    11.2     4.7    4.58    2.12     2.8    1.8    1.5    0.15    0.21
 1997 217    42    40    17.5     0.0    17.5    0.00    3.41     19.7     0.6    12.3     5.2    4.59    2.12     2.8    1.8    1.7    0.17    0.23
 1997 218    43    41    18.7     0.0    18.7    0.00    3.41     21.0     0.6    13.1     5.6    4.60    2.12     2.8    1.8    1.3    0.18    0.25
 1997 219    44    42    20.4     0.0    20.4    0.00    3.39     22.9     0.6    14.2     6.2    4.61    2.12     2.8    1.8    1.8    0.20    0.26
 1997 220    45    43    22.2     0.0    22.1    0.00    3.31     25.3     0.7    15.4     6.8    4.52    2.06     2.8    1.8    1.9    0.22    0.28
 1997 221    46    44    24.4     0.0    24.3    0.00    3.32     27.6     0.7    16.8     7.5    4.55    2.08     2.8    1.8    2.3    0.25    0.30
 1997 222    47    45    26.5     0.0    26.4    0.00    3.28     30.5     0.8    18.1     8.3    4.52    2.05     2.8    1.8    2.3    0.31    0.32
 1997 223    48    46    29.1     0.0    28.9    0.00    3.27     33.6     0.8    19.7     9.2    4.53    2.05     2.8    1.8    2.8    0.37    0.35
 1997 224    49    47    31.8     0.0    31.6    0.00    3.29     36.5     0.9    21.4    10.2    4.56    2.06     2.8    1.8    2.9    0.45    0.37
 1997 225    50    48    34.7     0.0    34.4    0.00    3.29     39.6     1.1    23.2    11.2    4.59    2.07     2.8    1.8    3.1    0.55    0.40
 1997 226    51    49    37.7     0.0    37.2    0.00    3.29     42.8     1.2    25.0    12.2    4.61    2.08     2.8    1.8    3.1    0.63    0.43
 1997 227    52    50    39.5     0.0    38.9    0.00    3.28     44.7     1.4    26.1    12.9    4.61    2.07     2.7    1.8    1.9    0.69    0.46
 1997 228    53    51    42.6     0.0    41.8    4.53    3.26     48.1     1.5    27.9    13.9    4.60    2.06     2.7    1.8    3.2    0.73    0.49
 1997 229    54    52    45.3     0.0    44.4    4.49    3.25     51.0     1.7    29.5    14.9    4.60    2.05     2.7    1.8    2.9    0.78    0.53
 1997 230    55    53    48.6     0.1    47.5    4.56    3.24     54.5     1.8    31.4    16.1    4.60    2.05     2.7    1.8    3.4    0.83    0.56
 1997 231    56    54    52.0     0.2    50.5    4.47    3.21     58.4     1.9    33.3    17.2    4.59    2.04     2.7    1.8    3.5    0.88    0.60
 1997 232    57    55    55.7     0.3    53.8    4.43    3.20     62.3     2.0    35.3    18.5    4.59    2.03     2.7    1.8    3.9    0.94    0.64
 1997 233    58    56    59.4     0.4    57.2    4.50    3.18     66.6     2.2    37.3    19.8    4.58    2.02     2.7    1.8    3.9    1.00    0.68
 1997 234    59    57    62.7     0.5    60.0    4.54    3.17     70.0     2.3    39.1    21.0    4.57    2.02     2.7    1.8    3.4    1.07    0.72
 1997 235    60    58    64.0     0.7    60.8    4.54    3.14     71.1     2.6    39.5    21.3    4.54    2.00     2.6    1.8    1.1    1.14    0.76
 1997 236    61    59    67.4     1.0    63.7    4.51    3.13     74.7     2.8    41.2    22.4    4.54    1.99     2.6    1.8    3.6    1.21    0.81
 1997 237    62    60    71.5     1.2    67.1    4.52    3.12     78.8     3.1    43.3    23.8    4.54    1.99     2.6    1.8    4.1    1.29    0.85
 1997 238    63    61    74.9     1.5    69.7    4.51    3.10     82.3     3.2    44.8    24.9    4.53    1.98     2.6    1.8    3.5    1.37    0.90
 1997 239    64    62    78.5     1.9    72.6    4.52    3.08     85.9     3.5    46.5    26.1    4.52    1.97     2.6    1.8    3.6    1.45    0.95
 1997 240    65    63    80.5     2.3    73.8    4.50    3.05     87.8     3.7    47.1    26.6    4.49    1.95     2.6    1.8    1.9    1.54    1.00
 1997 241    66    64    84.6     2.7    77.0    4.49    3.04     92.0     4.0    49.0    28.0    4.48    1.95     2.6    1.8    4.1    1.63    1.05
 1997 242    67    65    88.6     3.2    80.0    4.48    3.02     96.1     4.2    50.7    29.3    4.47    1.94     2.6    1.8    4.1    1.73    1.10
 1997 243    68    66    92.6     3.8    83.0    4.48    3.00    100.3     4.3    52.4    30.6    4.46    1.93     2.5    1.8    4.2    1.83    1.15
 1997 244    69    67    96.3     4.4    85.5    4.49    2.98    104.1     4.5    53.8    31.7    4.44    1.92     2.5    1.8    3.8    1.94    1.21
 1997 245    70    68    99.8     5.2    87.9    4.49    2.96    107.6     4.9    55.1    32.8    4.42    1.90     2.5    1.8    3.5    2.05    1.26
 1997 246    71    69   101.9     5.9    88.5    4.47    2.93    109.6     4.9    55.4    33.2    4.39    1.88     2.5    1.7    2.1    2.16    1.32
 1997 247    72    70   104.0     6.8    89.2    4.47    2.89    111.5     5.3    55.7    33.5    4.35    1.86     2.5    1.7    1.9    2.26    1.38
 1997 248    73    71   107.6     7.7    91.4    4.47    2.87    115.0     5.7    56.9    34.5    4.34    1.85     2.5    1.7    3.5    2.37    1.43
 1997 249    74    72   110.2     8.7    92.5    4.47    2.85    117.6     5.9    57.4    35.1    4.31    1.83     2.5    1.7    2.6    2.48    1.49
 1997 250    75    73   113.4     9.7    94.1    4.46    2.82    120.7     6.2    58.2    35.9    4.29    1.82     2.4    1.7    3.1    2.59    1.55
 1997 251    76    74   117.3    10.9    96.2    4.47    2.80    124.7     6.4    59.3    36.9    4.27    1.80     2.4    1.7    3.9    2.72    1.60
 1997 252    77    75   119.2    12.2    96.3    4.47    2.77    126.5     6.5    59.3    37.0    4.23    1.78     2.4    1.6    1.9    2.83    1.66
 1997 253    78    76   122.1    13.6    97.2    4.47    2.74    129.5     6.6    59.7    37.6    4.20    1.77     2.4    1.6    3.0    2.95    1.72
 1997 254    79    77   124.8    15.0    97.9    4.45    2.71    132.3     6.7    60.0    38.0    4.17    1.75     2.4    1.6    2.8    3.07    1.78
 1997 255    80    78   128.4    16.6    99.4    4.45    2.69    136.1     6.8    60.6    38.8    4.15    1.74     2.4    1.6    3.8    3.18    1.84
 1997 256    81    79   131.9    18.2   100.9    4.47    2.67    139.7     6.9    61.3    39.5    4.13    1.73     2.3    1.6    3.6    3.30    1.90
 1997 257    82    80   134.8    19.8   101.6    4.46    2.65    142.7     6.9    61.6    40.0    4.11    1.71     2.3    1.6    3.0    3.43    1.95
 1997 258    83    81   138.3    21.6   102.8    4.46    2.63    146.3     7.0    62.1    40.7    4.08    1.70     2.3    1.6    3.5    3.55    2.01
 1997 259    84    82   141.6    23.4   103.8    4.46    2.61    149.8     7.1    62.5    41.3    4.06    1.69     2.3    1.6    3.5    3.67    2.06
 1997 260    85    83   145.0    25.3   104.8    4.45    2.58    153.1     7.3    62.9    41.9    4.04    1.68     2.3    1.6    3.3    3.80    2.12
 1997 261    86    84   145.8    27.3   103.3    4.43    2.55    153.8     7.4    62.0    41.3    3.99    1.65     2.2    1.5    0.7    3.93    2.18
 1997 262    87    85   148.6    29.4   103.5    4.43    2.52    156.7     7.4    62.0    41.5    3.97    1.64     2.2    1.5    2.9    4.06    2.23
 1997 263    88    86   150.8    31.5   103.2    4.44    2.50    159.0     7.4    61.7    41.5    3.94    1.62     2.2    1.5    2.3    4.19    2.29
 1997 264    89    87   154.3    33.8   104.1    4.45    2.48    162.7     7.6    62.0    42.1    3.92    1.61     2.2    1.5    3.6    4.31    2.35
 1997 265    90    88   157.4    36.1   104.5    4.47    2.46    165.6     7.8    62.0    42.4    3.89    1.60     2.2    1.5    3.0    4.44    2.41
 1997 266    91    89   157.8    39.1   102.3    4.54    2.41    166.0     7.8    60.8    41.5    3.83    1.56     2.1    1.4    0.4    4.56    2.46
 1997 267    92    90   160.8    41.6   102.5    4.53    2.39    168.9     8.0    60.7    41.8    3.81    1.55     2.1    1.4    2.9    4.70    2.51
 1997 268    93    91   161.4    44.1   101.0    4.52    2.35    169.5     8.1    59.8    41.2    3.77    1.52     2.0    1.4    0.6    4.83    2.56
 1997 269    94    92   163.9    46.7   100.6    4.52    2.33    171.9     8.3    59.4    41.1    3.74    1.51     2.0    1.4    2.4    4.95    2.61
 1997 270    95    93   167.2    49.3   101.1    4.53    2.32    175.4     8.4    59.5    41.6    3.72    1.50     2.0    1.4    3.5    5.08    2.66
 1997 271    96    94   170.6    51.9   101.5    4.52    2.30    178.8     8.4    59.5    42.0    3.70    1.50     2.0    1.4    3.5    5.20    2.71
 1997 272    97    95   173.8    54.7   101.7    4.53    2.28    182.1     8.4    59.4    42.3    3.68    1.49     2.0    1.4    3.3    5.32    2.76
 1997 273    98    96   176.6    57.5   101.5    4.53    2.27    185.0     8.5    59.1    42.3    3.66    1.48     1.9    1.3    2.9    5.44    2.81
 1997 274    99    97   179.5    60.3   101.4    4.54    2.25    188.0     8.6    58.9    42.5    3.63    1.47     1.9    1.3    3.0    5.57    2.87
 1997 275   100    98   182.8    63.2   101.6    4.55    2.23    191.1     8.8    58.8    42.8    3.61    1.46     1.9    1.3    3.1    5.69    2.92
 1997 276   101    99   184.9    66.0   100.8    4.53    2.21    193.0     9.0    58.3    42.5    3.58    1.45     1.9    1.3    1.9    5.81    2.96
 1997 277   102   100   187.4    68.9   100.3    4.52    2.19    195.4     9.3    57.9    42.4    3.56    1.43     1.9    1.3    2.4    5.93    3.01
 1997 278   103   101   188.1    72.0    98.4    4.56    2.14    195.9     9.5    56.8    41.5    3.50    1.40     1.8    1.3    0.5    6.03    3.05
 1997 279   104   102   191.2    75.3    98.1    4.58    2.12    199.0     9.5    56.5    41.6    3.47    1.39     1.8    1.3    3.2    6.14    3.09
 1997 280   105   103   194.1    78.6    97.5    4.59    2.10    202.0     9.6    56.0    41.5    3.44    1.37     1.8    1.2    3.0    6.25    3.14
 1997 281   106   104   194.7    81.6    95.6    4.62    2.06    202.5     9.6    55.0    40.6    3.39    1.34     1.7    1.2    0.5    6.36    3.18
 1997 282   107   105   197.3    84.9    94.8    4.64    2.04    205.1     9.7    54.4    40.3    3.36    1.33     1.7    1.2    2.6    6.47    3.23
 1997 283   108   106   200.0    88.2    94.1    4.66    2.01    207.8     9.8    54.0    40.2    3.34    1.31     1.7    1.2    2.7    6.57    3.27
 1997 284   109   107   202.7    91.5    93.5    4.68    1.99    210.4    10.0    53.5    40.0    3.31    1.30     1.7    1.2    2.6    6.66    3.32
 1997 285   110   108   205.2    94.8    92.8    4.70    1.97    212.9    10.1    53.0    39.8    3.28    1.29     1.7    1.2    2.4    6.76    3.36
 1997 286   111   109   207.9    98.0    92.3    4.71    1.95    215.6    10.2    52.6    39.7    3.25    1.28     1.6    1.2    2.7    6.85    3.40
 1997 287   112   110   209.4   101.6    90.7    4.74    1.92    216.8    10.5    51.7    39.0    3.21    1.25     1.6    1.1    1.2    6.94    3.44
 1997 288   113   111   212.2   104.8    90.1    4.74    1.90    219.1    11.0    51.3    38.8    3.18    1.24     1.6    1.1    2.3    7.03    3.48
 1997 289   114   112   215.1   107.7    90.2    4.74    1.89    221.8    11.2    51.1    39.1    3.17    1.24     1.6    1.1    2.7    7.11    3.52
 1997 290   115   113   216.5   111.1    88.7    4.76    1.86    223.1    11.4    50.3    38.4    3.13    1.21     1.5    1.1    1.3    7.19    3.56
 1997 291   116   114   218.1   114.3    87.3    4.78    1.83    224.3    11.8    49.6    37.7    3.09    1.19     1.5    1.1    1.2    7.27    3.60
 1997 292   117   115   219.8   117.8    86.0    4.80    1.80    225.9    12.0    48.9    37.1    3.05    1.17     1.5    1.1    1.6    7.34    3.63
 1997 293   118   116   221.4   121.0    84.7    4.82    1.77    227.2    12.3    48.2    36.5    3.02    1.15     1.4    1.1    1.3    7.41    3.67
 1997 294   119   117   223.1   124.2    83.6    4.83    1.75    228.6    12.5    47.6    36.0    2.99    1.13     1.4    1.0    1.5    7.47    3.70
 1997 295   120   118   225.8   127.1    83.5    4.84    1.74    231.4    12.6    47.4    36.1    2.98    1.13     1.4    1.0    2.7    7.53    3.74
 1997 296   121   119   228.7   129.9    83.6    4.84    1.74    233.9    13.0    47.3    36.3    2.96    1.13     1.4    1.0    2.5    7.59    3.77
 1997 297   122   120   231.4   132.6    83.6    4.85    1.73    236.3    13.3    47.1    36.5    2.95    1.13     1.4    1.0    2.4    7.64    3.81
 1997 298   123   121   231.6   134.1    82.6    4.83    1.68    236.3    13.5    46.6    36.0    2.90    1.09     1.4    1.0    0.0    7.70    3.84

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:35
                                                                                
*RUN   5        : 97 DATE3 CHINESE          CRGRO045 GHNY9701    5              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  5   : 97 DATE3 CHINESE          CRGRO045                            
  
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 1997 205     2     0     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 206     3     1     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 207     4     2     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 208     5     3     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 209     6     4     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 210     7     5     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 211     8     6     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 212     9     7     0.5     0.0     0.5    0.00    4.84      0.1     0.0     0.5     0.1    5.36    2.56     0.0    2.3    0.0    0.00    0.00
 1997 213    10     8     0.5     0.0     0.5    0.00    4.81      0.1     0.0     0.5     0.1    5.31    2.52     0.0    2.2    0.0    0.00    0.01
 1997 214    11     9     0.6     0.0     0.6    0.00    4.82      0.1     0.0     0.6     0.1    5.30    2.50     0.0    2.2    0.1    0.00    0.01
 1997 215    12    10     0.7     0.0     0.7    0.00    4.82      0.2     0.0     0.6     0.1    5.28    2.48     0.0    2.2    0.1    0.00    0.01
 1997 216    13    11     0.8     0.0     0.8    0.00    4.81      0.3     0.0     0.7     0.1    5.25    2.46     0.0    2.2    0.1    0.00    0.02
 1997 217    14    12     0.9     0.0     0.9    0.00    4.66      0.4     0.0     0.8     0.1    5.08    2.35     0.0    2.1    0.1    0.00    0.02
 1997 218    15    13     1.0     0.0     1.0    0.00    4.67      0.4     0.0     0.9     0.1    5.07    2.35     0.0    2.1    0.1    0.00    0.02
 1997 219    16    14     1.1     0.0     1.1    0.00    4.49      0.5     0.0     1.0     0.1    4.93    2.20     0.0    2.0    0.1    0.01    0.02
 1997 220    17    15     1.2     0.0     1.2    0.00    4.18      0.7     0.0     1.1     0.1    4.62    2.04     0.0    1.9    0.1    0.01    0.02
 1997 221    18    16     1.3     0.0     1.3    0.00    4.05      0.8     0.0     1.2     0.1    4.55    1.96     0.0    1.9    0.1    0.01    0.03
 1997 222    19    17     1.4     0.0     1.4    0.00    3.89      1.0     0.0     1.3     0.2    4.47    1.88     0.0    1.8    0.2    0.01    0.03
 1997 223    20    18     1.6     0.0     1.6    0.00    3.74      1.2     0.0     1.3     0.2    4.41    1.90     0.0    1.8    0.2    0.01    0.03
 1997 224    21    19     1.8     0.0     1.8    0.00    3.69      1.5     0.0     1.5     0.3    4.38    1.92     0.0    1.8    0.2    0.01    0.04
 1997 225    22    20     2.0     0.0     2.0    0.00    3.66      1.8     0.0     1.7     0.3    4.38    1.95     0.0    1.8    0.3    0.02    0.04
 1997 226    23    21     2.3     0.0     2.3    0.00    3.66      2.2     0.0     1.9     0.4    4.41    2.00     0.0    1.8    0.3    0.02    0.05
 1997 227    24    22     2.5     0.0     2.5    0.00    3.69      2.5     0.0     2.1     0.5    4.46    2.05     0.0    1.8    0.3    0.02    0.05
 1997 228    25    23     2.9     0.0     2.9    0.00    3.61      2.9     0.0     2.3     0.5    4.41    2.03     0.0    1.7    0.4    0.03    0.06
 1997 229    26    24     3.3     0.0     3.3    0.00    3.64      3.4     0.0     2.6     0.7    4.47    2.08     0.0    1.8    0.4    0.03    0.06
 1997 230    27    25     3.7     0.0     3.7    0.00    3.56      3.9     0.0     2.9     0.8    4.42    2.06     0.0    1.7    0.5    0.03    0.07
 1997 231    28    26     4.2     0.0     4.2    0.00    3.52      4.6     0.0     3.2     0.9    4.41    2.06     0.0    1.7    0.5    0.04    0.07
 1997 232    29    27     4.8     0.0     4.8    0.00    3.52      5.3     0.0     3.7     1.1    4.44    2.08     0.0    1.7    0.6    0.04    0.08
 1997 233    30    28     5.3     0.0     5.3    0.00    3.52      6.2     0.0     4.1     1.3    4.46    2.09     0.0    1.8    0.7    0.05    0.09
 1997 234    31    29     6.1     0.0     6.1    0.00    3.55      7.0     0.0     4.6     1.5    4.53    2.13     0.0    1.8    0.8    0.05    0.09
 1997 235    32    30     6.6     0.0     6.6    0.00    3.56      7.5     0.0     4.9     1.6    4.55    2.15     0.0    1.8    0.5    0.06    0.10
 1997 236    33    31     7.4     0.0     7.4    0.00    3.54      8.5     0.0     5.5     1.9    4.57    2.15     0.0    1.8    0.9    0.07    0.11
 1997 237    34    32     8.2     0.0     8.2    0.00    3.51      9.7     0.0     6.1     2.1    4.56    2.13     0.0    1.8    1.0    0.07    0.12
 1997 238    35    33     9.3     0.0     9.3    0.00    3.53     10.8     0.0     6.8     2.5    4.60    2.16     0.0    1.8    1.2    0.08    0.13
 1997 239    36    34    10.3     0.0    10.3    0.00    3.50     12.2     0.0     7.5     2.8    4.59    2.14     2.8    1.8    1.2    0.09    0.14
 1997 240    37    35    11.3     0.0    11.3    0.00    3.51     13.2     0.0     8.2     3.1    4.62    2.15     2.8    1.8    1.1    0.10    0.15
 1997 241    38    36    12.4     0.0    12.4    0.00    3.47     14.8     0.1     8.9     3.5    4.60    2.13     2.8    1.8    1.3    0.12    0.17
 1997 242    39    37    13.9     0.0    13.8    0.00    3.45     16.5     0.1     9.9     4.0    4.60    2.13     2.8    1.8    1.5    0.13    0.18
 1997 243    40    38    15.4     0.0    15.4    0.00    3.45     18.3     0.2    10.9     4.5    4.62    2.13     2.8    1.8    1.7    0.14    0.20
 1997 244    41    39    17.2     0.0    17.1    0.00    3.45     20.1     0.3    12.1     5.0    4.65    2.14     2.8    1.9    1.8    0.16    0.22
 1997 245    42    40    19.0     0.0    18.8    0.00    3.44     22.0     0.5    13.2     5.6    4.65    2.14     2.8    1.9    1.8    0.18    0.23
 1997 246    43    41    20.5     0.0    20.3    0.00    3.43     23.5     0.6    14.1     6.1    4.66    2.13     2.8    1.9    1.5    0.20    0.25
 1997 247    44    42    22.1     0.0    21.8    0.00    3.42     25.1     0.8    15.1     6.6    4.66    2.13     2.8    1.9    1.6    0.22    0.28
 1997 248    45    43    24.0     0.0    23.5    0.00    3.37     27.4     0.9    16.2     7.2    4.61    2.09     2.8    1.8    1.9    0.26    0.30
 1997 249    46    44    26.0     0.0    25.3    0.00    3.36     29.4     1.0    17.4     7.9    4.63    2.10     2.8    1.8    2.1    0.31    0.32
 1997 250    47    45    28.1     0.0    27.3    0.00    3.34     31.8     1.2    18.7     8.6    4.62    2.08     2.7    1.8    2.2    0.37    0.34
 1997 251    48    46    30.3     0.0    29.3    4.50    3.29     34.5     1.3    19.9     9.4    4.58    2.06     2.7    1.8    2.4    0.43    0.37
 1997 252    49    47    32.3     0.0    31.0    4.52    3.28     36.6     1.3    21.0    10.0    4.58    2.05     2.7    1.8    2.1    0.49    0.40
 1997 253    50    48    34.7     0.1    33.0    4.46    3.26     39.2     1.4    22.3    10.7    4.58    2.04     2.7    1.8    2.6    0.53    0.42
 1997 254    51    49    37.1     0.2    35.0    4.40    3.24     41.8     1.5    23.5    11.5    4.57    2.03     2.7    1.8    2.5    0.57    0.45
 1997 255    52    50    39.7     0.4    37.0    4.43    3.20     44.7     1.5    24.7    12.3    4.54    2.01     2.7    1.8    2.7    0.61    0.48
 1997 256    53    51    42.5     0.6    39.2    4.50    3.18     47.8     1.6    26.1    13.1    4.52    2.00     2.7    1.8    3.0    0.66    0.52
 1997 257    54    52    45.2     0.8    41.2    4.44    3.16     50.7     1.7    27.3    13.9    4.51    1.99     2.7    1.8    2.8    0.71    0.55
 1997 258    55    53    48.1     1.1    43.4    4.47    3.13     53.9     1.7    28.6    14.8    4.49    1.97     2.6    1.8    3.1    0.76    0.58
