*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 08, 2014; 00:45:26
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    
 1997 195    20  18.10  32.00  24.50  4.703  0.256  4.556  4.260  0.256  3.932  0.000  0.072   84.31   49.19    1.34   46.66    0.00    1.19   1.125   0.839   0.709   0.456   0.323   0.480
 1997 196    21  10.20  29.50  22.00  2.561  0.153  2.473  2.326  0.153  2.079  0.000  0.094   86.87   51.51    1.50   48.73    0.00    1.28   0.602   0.441   0.369   0.239   0.173   0.256
 1997 197    22   7.10  25.50  21.00  1.695  0.114  1.629  1.546  0.114  1.348  0.000  0.083   88.57   53.06    1.61   50.08    0.00    1.37   0.388   0.272   0.234   0.159   0.119   0.176
 1997 198    23  15.50  29.50  22.50  3.895  0.287  3.729  3.564  0.287  3.186  0.000  0.091   92.46   56.62    1.90   53.27    0.00    1.46   0.926   0.649   0.557   0.372   0.272   0.410
 1997 199    24  16.20  28.50  22.00  3.991  0.334  3.797  3.670  0.334  3.267  0.000  0.070   96.45   60.29    2.23   56.54    0.00    1.53   0.912   0.674   0.587   0.386   0.280   0.427
 1997 200    25  17.40  30.30  22.20  4.359  0.411  4.119  4.030  0.411  3.566  0.000  0.054  100.81   64.32    2.64   60.10    0.00    1.58   0.943   0.737   0.654   0.434   0.315   0.482
 1997 201    26  12.00  28.50  20.60  2.902  0.308  2.720  1.313  0.308  0.964  0.000  0.041  103.71   65.64    2.95   61.07    0.00    1.62   0.801   0.107   0.034   0.012   0.005   0.005
 1997 202    27   7.10  29.50  20.60  1.732  0.204  1.611  1.194  0.204  0.927  0.000  0.063  105.45   66.83    3.15   61.99    0.00    1.68   0.765   0.106   0.034   0.012   0.005   0.005
 1997 203    28  23.10  30.50  22.00  5.745  0.740  5.303  1.702  0.740  0.878  0.000  0.083  111.19   68.53    3.89   62.87    0.00    1.77   0.717   0.105   0.034   0.012   0.005   0.005
 1997 204    29  16.80  32.00  22.50  4.245  0.607  3.880  1.679  0.607  1.009  0.000  0.064  115.44   70.21    4.50   63.88    0.00    1.83   0.850   0.104   0.033   0.012   0.005   0.005
 1997 205    30  15.90  31.70  22.30  4.046  0.648  3.651  1.917  0.648  1.176  0.000  0.093  119.48   72.13    5.15   65.06    0.00    1.93   1.017   0.104   0.033   0.012   0.005   0.005
 1997 206    31  20.80  30.00  21.50  5.160  0.919  4.595  2.119  0.919  1.118  0.000  0.082  124.64   74.25    6.07   66.17    0.00    2.01   0.960   0.103   0.033   0.012   0.005   0.005
 1997 207    32  20.70  32.00  23.00  5.277  1.034  4.634  2.112  1.034  1.015  0.000  0.063  129.92   76.36    7.10   67.19    0.00    2.07   0.859   0.101   0.032   0.012   0.005   0.005
 1997 208    33  18.60  32.50  23.50  4.763  1.022  4.121  1.989  1.022  0.919  0.000  0.048  134.68   78.35    8.12   68.11    0.00    2.12   0.766   0.099   0.032   0.011   0.005   0.005
 1997 209    34  21.20  32.00  23.00  5.360  1.268  4.552  2.137  1.268  0.832  0.000  0.037  140.04   80.48    9.39   68.94    0.00    2.15   0.682   0.096   0.032   0.011   0.005   0.005
 1997 210    35  12.60  31.00  23.50  3.152  0.806  2.632  1.830  0.806  0.995  0.000  0.028  143.19   82.31   10.20   69.93    0.00    2.18   0.847   0.096   0.031   0.011   0.005   0.005
 1997 211    36   9.80  29.50  22.00  2.415  0.674  1.974  2.408  0.674  1.643  0.000  0.091  145.61   84.72   10.87   71.58    0.00    2.27   0.520   0.331   0.272   0.182   0.132   0.206
 1997 212    37   7.80  27.00  21.50  1.871  0.554  1.497  1.870  0.554  1.241  0.000  0.074  147.48   86.59   11.43   72.82    0.00    2.35   0.375   0.260   0.214   0.139   0.099   0.154
 1997 213    38  10.80  27.60  22.60  2.615  0.810  2.053  2.614  0.810  1.746  0.000  0.057  150.10   89.21   12.24   74.56    0.00    2.41   0.522   0.361   0.303   0.199   0.143   0.219
 1997 214    39  21.20  31.00  22.60  5.314  1.817  4.073  3.102  1.817  1.192  0.000  0.093  155.41   92.31   14.05   75.76    0.00    2.50   1.019   0.116   0.035   0.012   0.005   0.005
 1997 215    40  18.60  33.40  22.30  4.749  1.727  3.550  2.869  1.727  1.070  0.000  0.071  160.16   95.18   15.78   76.83    0.00    2.57   0.901   0.112   0.034   0.012   0.005   0.005
 1997 216    41  11.80  29.50  24.20  2.918  1.139  2.112  2.155  1.139  0.961  0.000  0.055  163.08   97.33   16.92   77.79    0.00    2.62   0.796   0.109   0.033   0.012   0.005   0.005
 1997 217    42  13.50  30.00  22.50  3.305  1.272  2.312  3.302  1.272  1.988  0.000  0.042  166.38  100.63   18.19   79.78    0.00    2.67   0.534   0.422   0.360   0.242   0.176   0.253
 1997 218    43   7.50  28.00  21.00  1.794  0.728  1.212  1.793  0.728  0.972  0.000  0.092  168.18  102.43   18.92   80.75    0.00    2.76   0.285   0.201   0.171   0.113   0.082   0.120
 1997 219    44  12.60  30.00  22.50  3.102  1.310  2.038  3.099  1.310  1.718  0.000  0.071  171.28  105.53   20.23   82.47    0.00    2.83   0.505   0.352   0.301   0.199   0.144   0.217
 1997 220    45  21.90  30.40  21.10  5.346  2.373  3.380  5.340  2.373  2.914  0.000  0.054  176.63  110.87   22.60   85.38    0.00    2.88   0.831   0.596   0.516   0.344   0.249   0.378
 1997 221    46  14.10  31.40  23.00  3.513  1.779  2.131  2.860  1.779  1.040  0.000  0.042  180.14  113.73   24.38   86.42    0.00    2.93   0.876   0.108   0.034   0.012   0.005   0.005
 1997 222    47  21.00  30.00  23.00  5.138  2.721  3.031  3.686  2.721  0.933  0.000  0.032  185.28  117.41   27.10   87.35    0.00    2.96   0.773   0.104   0.033   0.012   0.005   0.005
 1997 223    48  21.40  30.80  22.50  5.245  2.896  3.009  3.741  2.896  0.821  0.000  0.025  190.52  121.15   30.00   88.17    0.00    2.98   0.667   0.099   0.032   0.011   0.005   0.005
 1997 224    49  16.70  30.00  22.40  4.044  2.321  2.254  3.055  2.321  0.716  0.000  0.019  194.56  124.21   32.32   88.89    0.00    3.00   0.569   0.094   0.031   0.011   0.005   0.005
 1997 225    50  17.50  30.50  23.60  4.287  2.548  2.323  3.191  2.548  0.628  0.000  0.015  198.85  127.40   34.87   89.52    0.00    3.02   0.487   0.090   0.030   0.011   0.005   0.005
 1997 226    51  16.90  31.50  23.50  4.174  2.568  2.194  3.149  2.568  0.570  0.000  0.011  203.02  130.55   37.43   90.09    0.00    3.03   0.435   0.085   0.029   0.011   0.005   0.005
 1997 227    52   8.70  27.40  23.40  2.052  1.303  1.046  2.035  1.303  0.723  0.000  0.009  205.08  132.58   38.74   90.81    0.00    3.04   0.594   0.079   0.028   0.011   0.005   0.005
 1997 228    53  18.30  34.00  21.20  4.581  2.967  2.290  3.926  2.967  0.866  0.000  0.093  209.66  136.51   41.70   91.68    0.00    3.13   0.741   0.076   0.028   0.011   0.005   0.005
 1997 229    54  13.20  30.50  23.50  3.229  2.146  1.570  2.972  2.146  0.756  0.000  0.071  212.89  139.48   43.85   92.43    0.00    3.20   0.637   0.071   0.027   0.011   0.005   0.005
 1997 230    55  17.50  34.00  22.50  4.402  2.988  2.087  4.095  2.988  1.053  0.000  0.054  217.29  143.58   46.84   93.48    0.00    3.25   0.891   0.105   0.034   0.012   0.005   0.005
 1997 231    56  20.40  30.50  21.50  4.944  2.941  2.280  4.937  2.941  1.900  0.000  0.097  222.23  148.51   49.78   95.38    0.00    3.35   0.556   0.398   0.338   0.219   0.154   0.235
 1997 232    57  19.40  29.50  22.50  4.673  2.827  2.101  4.666  2.827  1.765  0.000  0.074  226.91  153.18   52.61   97.15    0.00    3.42   0.499   0.367   0.315   0.207   0.148   0.228
 1997 233    58  26.20  33.50  23.80  6.631  4.079  2.906  6.622  4.079  2.487  0.000  0.056  233.54  159.80   56.68   99.64    0.00    3.48   0.728   0.533   0.435   0.283   0.202   0.307
 1997 234    59  15.50  33.50  23.50  3.921  2.453  1.672  3.916  2.453  1.365  0.000  0.098  237.46  163.72   59.14  101.00    0.00    3.58   0.404   0.286   0.237   0.155   0.112   0.170
 1997 235    60   6.80  32.50  22.50  1.688  1.070  0.703  1.685  1.070  0.540  0.000  0.075  239.15  165.40   60.21  101.54    0.00    3.65   0.156   0.112   0.094   0.063   0.046   0.069
 1997 236    61  15.90  31.50  22.00  3.890  2.685  1.609  3.884  2.685  1.141  0.000  0.057  243.04  169.29   62.89  102.68    0.00    3.71   0.969   0.115   0.034   0.012   0.005   0.005
 1997 237    62  21.80  32.40  23.00  5.412  3.484  2.197  5.404  3.484  1.877  0.000  0.044  248.45  174.69   66.38  104.56    0.00    3.75   0.553   0.395   0.324   0.214   0.154   0.237
 1997 238    63  15.70  31.50  22.20  3.848  2.506  1.529  3.842  2.506  1.238  0.000  0.099  252.30  178.53   68.88  105.80    0.00    3.85   0.373   0.256   0.213   0.140   0.101   0.155
 1997 239    64  17.60  32.50  23.00  4.377  2.875  1.712  4.370  2.875  1.420  0.000  0.075  256.67  182.90   71.76  107.22    0.00    3.93   0.441   0.291   0.241   0.159   0.114   0.175
 1997 240    65   9.80  32.50  20.50  2.397  1.588  0.922  2.393  1.588  0.703  0.000  0.102  259.07  185.30   73.35  107.92    0.00    4.03   0.214   0.144   0.121   0.080   0.057   0.088
 1997 241    66  22.90  31.20  22.50  5.596  3.718  2.143  5.587  3.718  1.792  0.000  0.078  264.67  190.88   77.06  109.71    0.00    4.11   0.552   0.375   0.306   0.200   0.143   0.217
 1997 242    67  21.00  30.00  23.40  5.102  3.415  1.924  5.094  3.415  1.575  0.000  0.103  269.77  195.98   80.48  111.29    0.00    4.21   0.471   0.327   0.272   0.179   0.129   0.196
 1997 243    68  22.00  31.00  22.70  5.366  4.123  1.996  5.358  4.123  1.156  0.000  0.079  275.13  201.33   84.60  112.44    0.00    4.29   0.986   0.114   0.034   0.012   0.005   0.005
 1997 244    69  18.50  33.00  23.00  4.611  3.538  1.693  4.604  3.538  1.006  0.000  0.060  279.75  205.94   88.14  113.45    0.00    4.35   0.845   0.107   0.033   0.011   0.005   0.005
 1997 245    70  18.00  30.50  23.50  4.381  3.451  1.592  4.373  3.451  0.877  0.000  0.045  284.13  210.31   91.59  114.33    0.00    4.39   0.724   0.101   0.031   0.011   0.005   0.005
 1997 246    71  11.20  28.60  23.00  2.658  1.836  0.958  2.654  1.836  0.784  0.000  0.034  286.78  212.97   93.43  115.11    0.00    4.43   0.637   0.095   0.030   0.011   0.005   0.005
 1997 247    72  11.60  30.00  23.50  2.804  1.921  1.009  2.800  1.921  0.802  0.000  0.076  289.59  215.77   95.35  115.91    0.00    4.51   0.683   0.077   0.025   0.009   0.004   0.004
 1997 248    73  18.80  32.50  22.50  4.647  3.186  1.671  4.640  3.186  1.363  0.000  0.091  294.24  220.41   98.53  117.27    0.00    4.60   0.432   0.278   0.224   0.149   0.107   0.173
 1997 249    74  14.00  31.50  22.00  3.417  2.349  1.222  3.411  2.349  0.965  0.000  0.098  297.65  223.82  100.88  118.24    0.00    4.69   0.293   0.206   0.166   0.107   0.074   0.119
 1997 250    75  17.10  30.50  22.00  4.125  2.837  1.475  4.118  2.837  1.207  0.000  0.074  301.78  227.93  103.72  119.45    0.00    4.77   0.357   0.254   0.209   0.139   0.095   0.152
 1997 251    76  23.30  31.50  23.00  5.717  3.935  2.041  5.708  3.935  1.717  0.000  0.056  307.50  233.64  107.65  121.16    0.00    4.82   0.510   0.367   0.304   0.196   0.134   0.206
 1997 252    77  12.20  31.50  23.50  3.008  2.073  1.071  3.003  2.073  0.822  0.000  0.108  310.50  236.65  109.73  121.99    0.00    4.93   0.244   0.176   0.147   0.095   0.065   0.094
 1997 253    78  15.70  30.50  22.50  3.805  2.622  1.355  3.798  2.622  1.085  0.000  0.091  314.31  240.44  112.35  123.07    0.00    5.02   0.331   0.220   0.187   0.126   0.091   0.129
 1997 254    79  15.20  29.00  22.50  3.624  2.498  1.291  3.618  2.498  1.010  0.000  0.109  317.93  244.06  114.85  124.08    0.00    5.13   0.301   0.205   0.176   0.117   0.085   0.127
 1997 255    80  20.80  31.50  22.50  5.087  3.508  1.812  5.079  3.508  1.489  0.000  0.082  323.02  249.14  118.36  125.57    0.00    5.22   0.436   0.300   0.261   0.174   0.125   0.193
 1997 256    81  21.50  33.50  24.00  5.421  3.740  1.931  5.413  3.740  1.612  0.000  0.062  328.44  254.55  122.10  127.18    0.00    5.28   0.469   0.333   0.285   0.191   0.136   0.199
 1997 257    82  16.50  29.50  21.50  3.925  2.708  1.398  3.918  2.708  1.099  0.000  0.112  332.37  258.47  124.80  128.28    0.00    5.39   0.322   0.227   0.193   0.129   0.092   0.136
 1997 258    83  20.80  32.50  23.00  5.157  3.558  1.838  5.149  3.558  1.507  0.000  0.084  337.52  263.62  128.36  129.79    0.00    5.47   0.458   0.308   0.259   0.173   0.124   0.185
 1997 259    84  19.80  31.00  21.00  4.770  3.290  1.700  4.761  3.290  1.356  0.000  0.115  342.29  268.38  131.65  131.14    0.00    5.59   0.408   0.276   0.234   0.155   0.112   0.172
 1997 260    85  21.00  31.50  22.00  5.116  3.529  1.825  5.107  3.529  1.493  0.000  0.086  347.41  273.49  135.18  132.64    0.00    5.67   0.451   0.317   0.255   0.167   0.120   0.183
 1997 261    86   9.10  26.50  22.00  2.102  1.449  0.751  2.098  1.449  0.547  0.000  0.102  349.51  275.59  136.63  133.18    0.00    5.78   0.166   0.119   0.095   0.061   0.043   0.064
 1997 262    87  16.30  30.00  22.50  3.928  2.701  1.412  3.921  2.701  1.114  0.000  0.106  353.44  279.51  139.33  134.30    0.00    5.88   0.331   0.233   0.196   0.127   0.091   0.137
 1997 263    88  14.60  32.00  23.50  3.614  2.479  1.307  3.609  2.479  1.050  0.000  0.079  357.05  283.12  141.81  135.35    0.00    5.96   0.307   0.216   0.185   0.121   0.087   0.134
 1997 264    89  24.50  33.50  24.00  6.178  4.229  2.246  6.169  4.229  1.880  0.000  0.059  363.23  289.29  146.04  137.23    0.00    6.02   0.536   0.383   0.332   0.222   0.160   0.247
 1997 265    90  19.70  33.50  24.50  4.981  3.408  1.814  4.973  3.408  1.522  0.000  0.044  368.21  294.26  149.45  138.75    0.00    6.06   0.445   0.322   0.266   0.174   0.124   0.190
 1997 266    91   7.60  28.00  21.00  1.772  1.211  0.646  1.769  1.211  0.469  0.000  0.089  369.98  296.03  150.66  139.22    0.00    6.15   0.139   0.098   0.082   0.053   0.038   0.058
 1997 267    92  19.50  32.00  22.40  4.791  3.269  1.757  4.783  3.269  1.421  0.000  0.094  374.77  300.81  153.93  140.64    0.00    6.25   0.440   0.292   0.243   0.159   0.114   0.173
 1997 268    93   9.30  28.50  21.50  2.188  1.490  0.806  2.184  1.490  0.583  0.000  0.112  376.96  303.00  155.42  141.22    0.00    6.36   0.176   0.118   0.100   0.066   0.048   0.073
 1997 269    94  16.00  33.50  21.70  3.973  2.701  1.470  3.967  2.701  1.182  0.000  0.084  380.94  306.96  158.12  142.40    0.00    6.44   0.353   0.239   0.205   0.136   0.098   0.151
 1997 270    95  24.70  34.50  24.50  6.313  4.286  2.345  6.304  4.286  1.956  0.000  0.062  387.25  313.27  162.40  144.36    0.00    6.50   0.572   0.401   0.341   0.228   0.168   0.246
 1997 271    96  24.90  32.50  20.00  6.051  4.105  2.250  6.041  4.105  1.814  0.000  0.122  393.30  319.31  166.51  146.17    0.00    6.63   0.527   0.373   0.318   0.212   0.155   0.230
 1997 272    97  21.90  34.00  24.00  5.550  3.764  2.067  5.541  3.764  1.688  0.000  0.090  398.85  324.85  170.27  147.86    0.00    6.72   0.503   0.340   0.292   0.195   0.142   0.216
 1997 273    98  18.80  33.00  23.00  4.687  3.177  1.748  4.680  3.177  1.377  0.000  0.126  403.54  329.53  173.45  149.24    0.00    6.84   0.414   0.273   0.234   0.159   0.117   0.179
 1997 274    99  20.20  33.50  25.00  5.127  3.474  1.915  5.120  3.474  1.553  0.000  0.093  408.66  334.65  176.92  150.79    0.00    6.93   0.452   0.305   0.266   0.183   0.135   0.210
 1997 275   100  24.50  34.00  25.00  6.246  4.231  2.335  6.237  4.231  1.938  0.000  0.068  414.91  340.89  181.15  152.73    0.00    7.00   0.579   0.407   0.328   0.218   0.159   0.246
 1997 276   101  15.10  28.00  20.00  3.493  2.365  1.307  3.487  2.365  0.997  0.000  0.125  418.40  344.37  183.52  153.73    0.00    7.13   0.297   0.210   0.173   0.112   0.080   0.125
 1997 277   102  18.10  32.00  20.00  4.370  2.956  1.638  4.363  2.956  1.314  0.000  0.092  422.77  348.74  186.48  155.04    0.00    7.22   0.383   0.274   0.229   0.151   0.109   0.169

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 08, 2014; 00:45:26
                                                                                
*RUN   4        : 97 DATE2 F-MIX            CRGRO045 GHNY9701    4              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  4   : 97 DATE2 F-MIX            CRGRO045                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    
 1997 176     1  16.50  31.00  23.50  4.228  0.000  4.228  3.716  0.000  3.672  0.000  0.044    4.23    3.72    0.00    3.67    0.00    0.04   0.973   0.777   0.661   0.448   0.317   0.496
 1997 177     2  24.10  31.50  23.00  6.163  0.000  6.163  4.895  0.000  4.861  0.000  0.034   10.39    8.61    0.00    8.53    0.00    0.08   1.212   1.034   0.894   0.609   0.434   0.679
 1997 178     3  21.80  32.00  23.00  5.577  0.000  5.577  0.881  0.000  0.855  0.000  0.026   15.97    9.49    0.00    9.39    0.00    0.10   0.694   0.106   0.033   0.012   0.005   0.005
 1997 179     4  13.10  32.00  21.20  3.300  0.000  3.300  2.900  0.000  2.880  0.000  0.020   19.27   12.39    0.00   12.27    0.00    0.12   0.759   0.622   0.532   0.351   0.246   0.369
 1997 180     5  23.00  30.70  23.00  5.924  0.000  5.924  5.206  0.000  5.117  0.000  0.090   25.19   17.60    0.00   17.38    0.00    0.21   1.506   1.069   0.907   0.590   0.418   0.627
 1997 181     6  16.40  29.50  23.40  4.143  0.000  4.143  3.641  0.000  3.572  0.000  0.069   29.34   21.24    0.00   20.96    0.00    0.28   1.063   0.743   0.626   0.410   0.292   0.438
 1997 182     7  19.30  29.50  25.00  4.972  0.000  4.972  4.370  0.000  4.277  0.000  0.093   34.31   25.61    0.00   25.23    0.00    0.38   1.280   0.878   0.743   0.489   0.351   0.535
 1997 183     8   8.80  29.50  23.50  2.226  0.000  2.226  1.199  0.000  1.127  0.000  0.072   36.53   26.81    0.00   26.36    0.00    0.45   0.955   0.115   0.035   0.012   0.005   0.005
 1997 184     9   9.50  27.50  20.50  2.291  0.000  2.291  1.095  0.000  1.040  0.000  0.055   38.82   27.90    0.00   27.40    0.00    0.50   0.868   0.114   0.035   0.012   0.005   0.005
 1997 185    10   9.70  29.00  21.50  2.388  0.000  2.388  1.002  0.000  0.960  0.000  0.042   41.21   28.90    0.00   28.36    0.00    0.54   0.789   0.114   0.035   0.012   0.005   0.005
 1997 186    11  16.60  29.70  23.50  4.161  0.045  4.136  1.025  0.045  0.947  0.000  0.032   45.37   29.93    0.05   29.31    0.00    0.58   0.777   0.113   0.035   0.012   0.005   0.005
 1997 187    12  15.70  29.80  22.70  3.926  0.049  3.898  1.075  0.049  0.935  0.000  0.091   49.30   31.00    0.09   30.24    0.00    0.67   0.766   0.112   0.035   0.012   0.005   0.005
 1997 188    13  16.40  29.00  22.50  4.047  0.060  4.013  0.993  0.060  0.864  0.000  0.070   53.35   32.00    0.15   31.11    0.00    0.74   0.695   0.112   0.034   0.012   0.005   0.005
 1997 189    14  21.50  30.50  22.50  5.375  0.104  5.316  0.956  0.104  0.799  0.000  0.053   58.72   32.95    0.26   31.90    0.00    0.79   0.631   0.111   0.034   0.012   0.005   0.005
 1997 190    15  18.90  31.50  22.50  4.762  0.116  4.696  0.895  0.116  0.739  0.000  0.041   63.48   33.85    0.37   32.64    0.00    0.83   0.572   0.110   0.034   0.012   0.005   0.005
 1997 191    16  11.40  27.50  23.30  2.760  0.082  2.714  2.467  0.082  2.354  0.000  0.031   66.24   36.32    0.45   35.00    0.00    0.86   0.600   0.527   0.433   0.284   0.203   0.307
 1997 192    17  11.60  31.00  22.00  2.971  0.103  2.913  2.662  0.103  2.469  0.000  0.091   69.21   38.98    0.56   37.47    0.00    0.95   0.739   0.520   0.427   0.279   0.200   0.304
 1997 193    18  19.80  27.50  23.00  4.884  0.192  4.775  4.388  0.192  4.127  0.000  0.070   74.10   43.37    0.75   41.59    0.00    1.02   1.221   0.856   0.720   0.472   0.339   0.518
 1997 194    19  21.50  31.00  23.50  5.515  0.246  5.375  1.488  0.246  1.148  0.000  0.093   79.61   44.85    1.00   42.74    0.00    1.12   0.976   0.115   0.035   0.012   0.005   0.005
 1997 195    20  18.10  32.00  24.50  4.705  0.236  4.570  4.252  0.236  3.944  0.000  0.072   84.32   49.11    1.23   46.68    0.00    1.19   1.128   0.842   0.711   0.457   0.324   0.482
 1997 196    21  10.20  29.50  22.00  2.562  0.141  2.481  2.321  0.141  2.086  0.000  0.094   86.88   51.43    1.37   48.77    0.00    1.28   0.604   0.443   0.370   0.240   0.173   0.257
 1997 197    22   7.10  25.50  21.00  1.696  0.100  1.638  1.540  0.100  1.356  0.000  0.083   88.58   52.97    1.47   50.13    0.00    1.37   0.390   0.274   0.236   0.160   0.120   0.177
 1997 198    23  15.50  29.50  22.50  3.898  0.253  3.751  3.550  0.253  3.206  0.000  0.091   92.47   56.52    1.73   53.33    0.00    1.46   0.932   0.653   0.561   0.374   0.273   0.413
 1997 199    24  16.20  28.50  22.00  3.994  0.297  3.821  3.655  0.297  3.288  0.000  0.070   96.47   60.17    2.02   56.62    0.00    1.53   0.918   0.678   0.591   0.389   0.282   0.430
 1997 200    25  17.40  30.30  22.20  4.362  0.367  4.148  4.012  0.367  3.591  0.000  0.054  100.83   64.18    2.39   60.21    0.00    1.58   0.950   0.743   0.659   0.437   0.318   0.486
 1997 201    26  12.00  28.50  20.60  2.903  0.277  2.741  1.282  0.277  0.964  0.000  0.041  103.73   65.46    2.67   61.18    0.00    1.62   0.801   0.107   0.034   0.012   0.005   0.005
 1997 202    27   7.10  29.50  20.60  1.733  0.184  1.624  1.175  0.184  0.927  0.000  0.063  105.46   66.64    2.85   62.10    0.00    1.68   0.765   0.106   0.034   0.012   0.005   0.005
 1997 203    28  23.10  30.50  22.00  5.749  0.669  5.351  1.631  0.669  0.879  0.000  0.083  111.21   68.27    3.52   62.98    0.00    1.77   0.718   0.105   0.034   0.012   0.005   0.005
 1997 204    29  16.80  32.00  22.50  4.248  0.552  3.917  1.626  0.552  1.010  0.000  0.064  115.46   69.90    4.07   63.99    0.00    1.83   0.851   0.104   0.033   0.012   0.005   0.005
 1997 205    30  15.90  31.70  22.30  4.049  0.593  3.691  1.864  0.593  1.177  0.000  0.093  119.51   71.76    4.67   65.17    0.00    1.93   1.017   0.104   0.033   0.012   0.005   0.005
 1997 206    31  20.80  30.00  21.50  5.164  0.847  4.648  2.048  0.847  1.119  0.000  0.082  124.67   73.81    5.51   66.29    0.00    2.01   0.961   0.104   0.033   0.012   0.005   0.005
 1997 207    32  20.70  32.00  23.00  5.281  0.961  4.689  2.041  0.961  1.017  0.000  0.063  129.96   75.85    6.47   67.31    0.00    2.07   0.861   0.102   0.032   0.012   0.005   0.005
 1997 208    33  18.60  32.50  23.50  4.766  0.968  4.161  1.938  0.968  0.922  0.000  0.048  134.72   77.79    7.44   68.23    0.00    2.12   0.768   0.099   0.032   0.012   0.005   0.005
 1997 209    34  21.20  32.00  23.00  5.363  1.214  4.595  2.086  1.214  0.835  0.000  0.037  140.08   79.87    8.66   69.06    0.00    2.15   0.684   0.097   0.032   0.011   0.005   0.005
 1997 210    35  12.60  31.00  23.50  3.154  0.783  2.651  1.810  0.783  0.998  0.000  0.028  143.24   81.68    9.44   70.06    0.00    2.18   0.848   0.097   0.031   0.011   0.005   0.005
 1997 211    36   9.80  29.50  22.00  2.416  0.660  1.985  2.405  0.660  1.653  0.000  0.091  145.65   84.09   10.10   71.71    0.00    2.27   0.522   0.333   0.274   0.184   0.133   0.207
 1997 212    37   7.80  27.00  21.50  1.871  0.547  1.506  1.870  0.547  1.249  0.000  0.074  147.53   85.96   10.65   72.96    0.00    2.35   0.377   0.262   0.216   0.140   0.100   0.154
 1997 213    38  10.80  27.60  22.60  2.616  0.801  2.065  2.614  0.801  1.757  0.000  0.057  150.14   88.57   11.45   74.72    0.00    2.41   0.525   0.363   0.305   0.200   0.143   0.220
 1997 214    39  21.20  31.00  22.60  5.316  1.794  4.093  3.079  1.794  1.192  0.000  0.093  155.46   91.65   13.24   75.91    0.00    2.50   1.018   0.116   0.035   0.012   0.005   0.005
 1997 215    40  18.60  33.40  22.30  4.751  1.702  3.574  2.843  1.702  1.069  0.000  0.071  160.21   94.49   14.94   76.98    0.00    2.57   0.901   0.112   0.034   0.012   0.005   0.005
 1997 216    41  11.80  29.50  24.20  2.919  1.128  2.122  2.143  1.128  0.960  0.000  0.055  163.13   96.64   16.07   77.94    0.00    2.62   0.795   0.109   0.033   0.012   0.005   0.005
 1997 217    42  13.50  30.00  22.50  3.305  1.267  2.318  3.302  1.267  1.993  0.000  0.042  166.43   99.94   17.34   79.93    0.00    2.67   0.535   0.423   0.361   0.243   0.177   0.254
 1997 218    43   7.50  28.00  21.00  1.794  0.729  1.211  1.793  0.729  0.971  0.000  0.092  168.23  101.73   18.07   80.90    0.00    2.76   0.284   0.201   0.171   0.113   0.082   0.120
 1997 219    44  12.60  30.00  22.50  3.102  1.319  2.027  3.099  1.319  1.709  0.000  0.071  171.33  104.83   19.39   82.61    0.00    2.83   0.502   0.351   0.300   0.198   0.143   0.216
 1997 220    45  21.90  30.40  21.10  5.344  2.403  3.343  5.338  2.403  2.881  0.000  0.054  176.67  110.17   21.79   85.50    0.00    2.88   0.821   0.589   0.510   0.340   0.247   0.374
 1997 221    46  14.10  31.40  23.00  3.511  1.805  2.111  2.886  1.805  1.039  0.000  0.042  180.18  113.05   23.59   86.53    0.00    2.93   0.876   0.108   0.033   0.012   0.005   0.005
 1997 222    47  21.00  30.00  23.00  5.135  2.781  2.985  3.744  2.781  0.931  0.000  0.032  185.32  116.80   26.37   87.47    0.00    2.96   0.772   0.104   0.033   0.012   0.005   0.005
 1997 223    48  21.40  30.80  22.50  5.242  2.966  2.954  3.808  2.966  0.818  0.000  0.024  190.56  120.61   29.34   88.28    0.00    2.98   0.665   0.099   0.032   0.012   0.005   0.005
