*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 08, 2014; 00:45:26
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    
 1997 207    60  20.70  32.00  23.00  5.129  3.784  2.163  4.960  3.784  1.110  0.000  0.066  254.62  170.49   57.16  109.54    0.00    3.79   0.971   0.091   0.028   0.011   0.005   0.005
 1997 208    61  18.60  32.50  23.50  4.639  3.475  1.908  4.490  3.475  0.965  0.000  0.050  259.26  174.98   60.64  110.51    0.00    3.84   0.834   0.084   0.027   0.011   0.005   0.005
 1997 209    62  21.20  32.00  23.00  5.233  3.972  2.103  4.848  3.972  0.837  0.000  0.038  264.50  179.83   64.61  111.35    0.00    3.87   0.713   0.078   0.026   0.011   0.005   0.005
 1997 210    63  12.60  31.00  23.50  3.084  2.076  1.212  3.079  2.076  0.974  0.000  0.029  267.58  182.91   66.69  112.32    0.00    3.90   0.856   0.073   0.025   0.010   0.005   0.005
 1997 211    64   9.80  29.50  22.00  2.344  1.547  0.907  2.340  1.547  0.695  0.000  0.098  269.93  185.25   68.23  113.02    0.00    4.00   0.255   0.133   0.094   0.075   0.053   0.086
 1997 212    65   7.80  27.00  21.50  1.813  1.201  0.697  1.809  1.201  0.529  0.000  0.079  271.74  187.06   69.43  113.55    0.00    4.08   0.187   0.118   0.071   0.053   0.038   0.062
 1997 213    66  10.80  27.60  22.60  2.544  1.687  0.976  2.539  1.687  0.792  0.000  0.060  274.28  189.60   71.12  114.34    0.00    4.14   0.276   0.176   0.111   0.080   0.057   0.093
 1997 214    67  21.20  31.00  22.60  5.177  3.442  1.979  5.169  3.442  1.626  0.000  0.101  279.46  194.77   74.56  115.96    0.00    4.24   0.546   0.363   0.233   0.166   0.120   0.197
 1997 215    68  18.60  33.40  22.30  4.641  3.408  1.750  4.634  3.408  1.150  0.000  0.077  284.10  199.40   77.97  117.11    0.00    4.32   0.995   0.111   0.025   0.010   0.004   0.005
 1997 216    69  11.80  29.50  24.20  2.860  1.927  1.065  2.856  1.927  0.870  0.000  0.059  286.96  202.26   79.90  117.98    0.00    4.38   0.743   0.090   0.021   0.008   0.004   0.004
 1997 217    70  13.50  30.00  22.50  3.247  2.191  1.206  3.242  2.191  1.006  0.000  0.045  290.21  205.50   82.09  118.99    0.00    4.42   0.307   0.235   0.178   0.105   0.067   0.114
 1997 218    71   7.50  28.00  21.00  1.753  1.185  0.648  1.750  1.185  0.482  0.000  0.083  291.96  207.25   83.27  119.47    0.00    4.51   0.149   0.109   0.091   0.051   0.032   0.050
 1997 219    72  12.60  30.00  22.50  3.040  2.056  1.124  3.035  2.056  0.897  0.000  0.082  295.00  210.29   85.33  120.37    0.00    4.59   0.271   0.195   0.165   0.099   0.067   0.099
 1997 220    73  21.90  30.40  21.10  5.249  3.553  1.938  5.240  3.553  1.625  0.000  0.062  300.25  215.53   88.88  121.99    0.00    4.65   0.484   0.346   0.296   0.186   0.126   0.187
 1997 221    74  14.10  31.40  23.00  3.459  2.347  1.271  3.453  2.347  1.059  0.000  0.047  303.71  218.98   91.23  123.05    0.00    4.70   0.304   0.223   0.195   0.125   0.085   0.128
 1997 222    75  21.00  30.00  23.00  5.073  3.963  1.862  5.064  3.963  1.066  0.000  0.036  308.78  224.04   95.19  124.12    0.00    4.73   0.901   0.110   0.034   0.011   0.005   0.005
 1997 223    76  21.40  30.80  22.50  5.189  4.124  1.900  5.076  4.124  0.925  0.000  0.027  313.97  229.12   99.32  125.04    0.00    4.76   0.768   0.103   0.033   0.011   0.005   0.005
 1997 224    77  16.70  30.00  22.40  4.008  3.187  1.464  4.001  3.187  0.793  0.000  0.021  317.98  233.12  102.50  125.84    0.00    4.78   0.646   0.096   0.031   0.011   0.005   0.005
 1997 225    78  17.50  30.50  23.60  4.255  3.386  1.553  4.088  3.386  0.687  0.000  0.016  322.23  237.21  105.89  126.52    0.00    4.80   0.546   0.090   0.030   0.011   0.005   0.005
 1997 226    79  16.90  31.50  23.50  4.146  3.301  1.512  3.908  3.301  0.595  0.000  0.012  326.38  241.12  109.19  127.12    0.00    4.81   0.462   0.084   0.029   0.011   0.005   0.005
 1997 227    80   8.70  27.40  23.40  2.040  1.391  0.744  2.037  1.391  0.636  0.000  0.009  328.42  243.15  110.58  127.75    0.00    4.82   0.529   0.067   0.024   0.009   0.004   0.004
 1997 228    81  18.30  34.00  21.20  4.546  3.547  1.668  4.539  3.547  0.886  0.000  0.105  332.97  247.69  114.13  128.64    0.00    4.92   0.765   0.075   0.027   0.010   0.005   0.005
 1997 229    82  13.20  30.50  23.50  3.209  2.361  1.178  3.204  2.361  0.764  0.000  0.079  336.17  250.90  116.49  129.40    0.00    5.00   0.650   0.069   0.026   0.010   0.004   0.005
 1997 230    83  17.50  34.00  22.50  4.379  2.970  1.618  4.372  2.970  1.343  0.000  0.059  340.55  255.27  119.46  130.75    0.00    5.06   0.390   0.286   0.254   0.154   0.098   0.162
 1997 231    84  20.40  30.50  21.50  4.914  3.331  1.818  4.906  3.331  1.464  0.000  0.111  345.47  260.17  122.79  132.21    0.00    5.17   0.452   0.332   0.273   0.156   0.098   0.154
 1997 232    85  19.40  29.50  22.50  4.650  3.150  1.722  4.642  3.150  1.409  0.000  0.083  350.12  264.82  125.94  133.62    0.00    5.26   0.421   0.306   0.258   0.158   0.107   0.159
 1997 233    86  26.20  33.50  23.80  6.604  4.464  2.460  6.594  4.464  2.068  0.000  0.062  356.72  271.41  130.41  135.69    0.00    5.32   0.634   0.471   0.368   0.225   0.149   0.221
 1997 234    87  15.50  33.50  23.50  3.906  2.640  1.456  3.900  2.640  1.147  0.000  0.113  360.63  275.31  133.04  136.84    0.00    5.43   0.352   0.260   0.202   0.126   0.084   0.124
