*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:34
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
!                                                                                                                                                                                                                                                    Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                                    0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD  PST1A  PST2A   KSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    SNW0C   SNW1C
 1997 178    31    29    8.0      1  0.304     97     64      0     50    161    161      0     0.0  0.000      0      0  0.000  0.002  0.000  0.000  0.000  0.000  0.000    4.52   0.00   0.00      0      0  311.9   0.15   0.25   19.6   0.83    0.12    0.12    0.08    0.03    0.02    0.00        2       5
 1997 179    32    30    8.3      1  0.340    108     73      0     53    181    181      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.58   0.00   0.00      0      0  315.5   0.15   0.26   19.9   0.86    0.13    0.13    0.09    0.03    0.02    0.00        2       5
 1997 180    33    31    8.6      1  0.371    120     84      0     60    204    204      0     0.0  0.000      0      0  0.000  0.123  0.000  0.000  0.000  0.000  0.000    4.55   0.00   0.00      0      0  309.2   0.16   0.27   23.8   0.89    0.14    0.14    0.10    0.04    0.02    0.00        3       6
 1997 181    34    32    8.9      1  0.414    133     97      0     64    230    230      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.61   0.00   0.00      0      0  310.2   0.16   0.29   24.4   0.90    0.15    0.15    0.10    0.04    0.03    0.00        3       6
 1997 182    35    33    9.3      1  0.462    149    111      0     69    260    260      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.59   0.00   0.00      0      0  310.8   0.17   0.30   27.8   0.90    0.16    0.16    0.11    0.05    0.03    0.00        3       7
 1997 183    36    34    9.6      2  0.506    161    123      0     72    283    283      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.62   0.00   0.00      0      0  315.5   0.18   0.32   27.8   0.90    0.17    0.17    0.12    0.05    0.03    0.00        4       7
 1997 184    37    35    9.9      2  0.548    174    136      0     76    310    310      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.64   0.00   0.00      0      0  315.3   0.19   0.33   27.8   0.90    0.18    0.18    0.12    0.05    0.03    0.00        4       8
 1997 185    38    36   10.2      2  0.595    188    151      0     80    339    339      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.66   0.00   0.00      0      0  316.4   0.19   0.35   27.8   0.90    0.18    0.18    0.13    0.05    0.03    0.00        4       9
 1997 186    39    37   10.5      2  0.655    208    171      0     86    380    380      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.59   0.00   0.00      0      0  314.7   0.20   0.36   33.3   0.90    0.20    0.20    0.14    0.06    0.04    0.01        5       9
 1997 187    40    38   10.9      3  0.715    229    193      0     93    422    423      0     0.0  0.000      1      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.57   0.00   0.00      0      1  312.6   0.21   0.38   37.3   0.90    0.21    0.21    0.15    0.06    0.04    0.01        6      10
 1997 188    41    39   11.2      3  0.778    251    218      0     99    469    471      0     0.0  0.000      2      2  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.58   0.00   0.00      0      2  309.6   0.22   0.39   39.9   0.90    0.23    0.22    0.16    0.07    0.05    0.01        6      11
 1997 189    42    40   11.5      3  0.834    275    244      0    111    520    523      0     0.0  0.000      3      5  0.000  0.081  0.000  0.000  0.000  0.000  0.000    4.57   0.00   0.01      0      3  302.9   0.22   0.41   45.6   0.90    0.25    0.25    0.17    0.08    0.05    0.01        7      12
 1997 190    43    41   11.8      3  0.905    302    275      0    119    576    582      0     0.0  0.000      6      9  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.59   0.00   0.01      0      6  299.8   0.23   0.42   47.8   0.90    0.27    0.27    0.18    0.08    0.06    0.01        8      13
 1997 191    44    42   12.1      3  0.971    324    300      0    125    623    632      0     0.0  0.000      9     14  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.60   0.00   0.01      0      9  299.9   0.24   0.44   47.8   0.90    0.28    0.28    0.19    0.09    0.06    0.01        8      14
 1997 192    45    43   12.5      3  1.038    346    326      0    131    673    686      0     0.0  0.000     13     19  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.61   0.00   0.02      0     13  299.7   0.24   0.45   47.8   0.90    0.29    0.29    0.20    0.09    0.06    0.01        9      15
 1997 193    46    44   12.8      3  1.110    376    362      0    140    738    757      0     0.0  0.000     19     25  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.59   0.00   0.03      0     19  295.3   0.25   0.47   52.9   0.90    0.31    0.31    0.22    0.10    0.07    0.01       10      16
 1997 194    47    45   13.1      5  1.188    407    402      0    150    809    835      0     0.0  0.000     26     32  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.58   0.00   0.03      0     26  291.8   0.26   0.49   58.3   0.90    0.33    0.33    0.23    0.11    0.07    0.01       13      18
 1997 195    48    46   13.5      5  1.270    438    442      0    159    880    913      3     0.0  0.000     34     39  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.59   0.00   0.04      0     34  290.0   0.27   0.50   60.1   0.90    0.35    0.35    0.24    0.11    0.08    0.01       15      19
 1997 196    49    47   13.8      5  1.330    459    471      0    165    930    973      8     4.1  0.000     44     46  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.58   0.76   0.04      0     44  289.9   0.27   0.50   60.1   0.90    0.37    0.37    0.25    0.12    0.08    0.01       18      21
 1997 197    50    48   14.1      5  1.372    474    492      1    169    967   1023     14     9.3  0.001     56     52  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.56   2.39   0.05      0     56  289.1   0.28   0.50   60.1   0.90    0.38    0.37    0.26    0.12    0.08    0.01       19      22
 1997 198    51    49   14.4      5  1.444    504    532      3    178   1036   1106     23    13.3  0.003     70     59  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.56   4.38   0.06      0     70  286.7   0.29   0.50   60.7   0.90    0.39    0.39    0.27    0.13    0.09    0.02       21      24
 1997 199    52    50   14.7      5  1.513    533    573      6    186   1107   1193     31    18.6  0.005     87     68  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.54   6.73   0.07      0     87  283.7   0.30   0.50   62.5   0.90    0.41    0.41    0.29    0.14    0.09    0.02       22      25
 1997 200    53    51   15.0      5  1.585    564    617     10    195   1181   1287     41    23.4  0.007    106     78  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.52   9.03   0.08      0    106  280.8   0.30   0.50   66.5   0.90    0.43    0.43    0.30    0.14    0.10    0.02       24      27
 1997 201    54    52   15.3      5  1.639    587    651     14    201   1238   1366     53    27.5  0.011    127     87  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.50  11.36   0.09      0    127  279.0   0.31   0.50   66.5   0.90    0.44    0.44    0.31    0.15    0.10    0.02       26      29
 1997 202    55    53   15.6      5  1.671    599    670     21    204   1269   1420     63    33.0  0.015    151     94  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.46  13.75   0.11      0    151  279.1   0.32   0.50   66.5   0.90    0.45    0.45    0.31    0.15    0.10    0.02       28      30
 1997 203    56    54   15.9      5  1.737    632    719     28    213   1351   1528     74    38.1  0.018    177    106  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.43  15.96   0.12      0    177  275.1   0.32   0.50   73.1   0.90    0.47    0.47    0.33    0.16    0.11    0.02       30      32
 1997 204    57    55   16.2      5  1.802    660    763     37    221   1424   1628     85    43.2  0.023    204    118  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.42  17.97   0.13      0    204  272.9   0.33   0.50   73.1   0.90    0.49    0.49    0.34    0.16    0.11    0.02       31      34
 1997 205    58    56   16.5      5  1.861    687    806     47    228   1492   1727     97    48.0  0.027    235    131  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.40  19.84   0.14      0    235  271.0   0.34   0.50   73.1   0.90    0.50    0.50    0.35    0.17    0.12    0.02       34      36
 1997 206    59    57   16.8      5  1.920    717    855     58    236   1573   1841    111    52.5  0.032    268    143  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.39  21.67   0.15      0    268  267.7   0.34   0.50   73.1   0.90    0.52    0.52    0.36    0.17    0.12    0.02       36      38
 1997 207    60    58   17.1      5  1.983    748    906     71    244   1654   1956    128    55.3  0.036    302    151  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.38  23.42   0.15      0    302  265.1   0.35   0.50   73.3   0.90    0.54    0.54    0.38    0.18    0.13    0.02       38      40
 1997 208    61    59   17.4      5  2.042    776    953     85    251   1729   2068    142    59.9  0.041    339    166  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.37  25.12   0.16      0    339  263.1   0.35   0.50   73.3   0.90    0.56    0.55    0.39    0.19    0.13    0.02       41      43
 1997 209    62    60   17.7      5  2.097    805   1003    101    259   1808   2186    154    65.8  0.046    379    180  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.35  26.73   0.17      0    379  260.7   0.36   0.50   74.2   0.90    0.57    0.57    0.40    0.19    0.13    0.02       43      45
 1997 210    63    61   18.0      5  2.134    820   1033    119    262   1854   2276    173    69.0  0.052    422    193  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.32  28.22   0.19      0    422  260.1   0.37   0.50   74.2   0.90    0.58    0.58    0.40    0.20    0.14    0.03       46      48
 1997 211    64    62   18.3      5  2.151    828   1051    140    264   1879   2349    193    72.4  0.060    470    208  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.28  29.74   0.20      0    470  259.9   0.37   0.50   74.2   0.90    0.58    0.58    0.41    0.20    0.14    0.03       49      50
 1997 212    65    63   18.6      5  2.155    829   1059    163    263   1888   2408    214    76.3  0.068    520    224  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.23  31.47   0.22      0    520  259.9   0.38   0.50   74.2   0.90    0.58    0.58    0.41    0.20    0.14    0.03       52      52
 1997 213    66    64   18.9      5  2.166    835   1074    190    264   1908   2484    233    81.4  0.076    575    239  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.20  32.95   0.23      0    575  259.6   0.38   0.50   74.2   0.90    0.59    0.59    0.41    0.20    0.14    0.03       55      55
 1997 214    67    65   19.1      5  2.201    855   1114    217    268   1968   2601    247    87.9  0.083    632    256  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.19  34.28   0.24      0    632  257.5   0.39   0.50   74.2   0.90    0.60    0.60    0.42    0.20    0.14    0.03       58      57
 1997 215    68    66   19.4      5  2.232    872   1151    244    272   2023   2711    271    90.2  0.090    688    269  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.18  35.49   0.25      0    688  255.8   0.39   0.50   74.2   0.90    0.61    0.60    0.42    0.20    0.14    0.03       61      60
 1997 216    69    67   19.7      5  2.239    876   1163    276    272   2039   2789    293    94.3  0.099    750    281  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.14  36.82   0.27      0    750  255.7   0.40   0.50   74.2   0.90    0.61    0.61    0.42    0.20    0.14    0.03       64      62
 1997 217    70    68   19.9      5  2.249    881   1180    311    273   2062   2877    315    98.7  0.108    815    291  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.11  38.17   0.28      0    815  255.1   0.40   0.50   74.2   0.90    0.61    0.61    0.42    0.21    0.14    0.03       68      65
 1997 218    71    69   20.1      5  2.248    882   1188    349    272   2070   2926    339   103.0  0.119    857    303  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.07  40.80   0.29      0    857  255.0   0.41   0.50   74.2   0.90    0.61    0.61    0.42    0.21    0.14    0.03       71      67
 1997 219    72    70   20.4      5  2.252    885   1201    390    272   2085   3005    365   106.8  0.130    920    319  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.03  42.38   0.31      0    920  254.6   0.41   0.50   74.2   0.90    0.61    0.61    0.42    0.21    0.14    0.03       74      70
 1997 220    73    71   20.6      5  2.264    895   1228    433    274   2123   3117    390   110.9  0.139    994    333  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.02  43.58   0.32      0    994  253.0   0.42   0.50   74.2   0.90    0.61    0.61    0.43    0.21    0.14    0.03       78      72
 1997 221    74    72   20.8      5  2.268    898   1242    478    273   2140   3200    418   114.5  0.149   1060    346  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.98  45.10   0.33      0   1060  252.5   0.42   0.50   74.2   0.90    0.61    0.61    0.43    0.21    0.15    0.03       81      75
 1997 222    75    73   21.0      5  2.274    904   1262    528    274   2167   3307    440   119.9  0.160   1140    359  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.95  46.28   0.34      0   1140  251.4   0.42   0.50   74.2   0.90    0.62    0.62    0.43    0.21    0.15    0.03       84      77
 1997 223    76    74   21.2      5  2.279    910   1282    579    275   2193   3413    460   126.0  0.170   1221    368  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.92  47.45   0.36      0   1221  250.3   0.43   0.50   74.2   0.90    0.62    0.62    0.43    0.21    0.15    0.03       87      80
 1997 224    77    75   21.4      5  2.281    914   1299    634    275   2213   3505    477   132.9  0.181   1292    380  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.89  49.04   0.37      0   1292  249.6   0.43   0.50   74.2   0.90    0.62    0.62    0.43    0.21    0.15    0.03       90      82
 1997 225    78    76   21.6      5  2.283    918   1316    689    275   2233   3598    497   138.8  0.192   1365    395  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.86  50.52   0.38      0   1365  248.8   0.43   0.50   74.2   0.90    0.62    0.62    0.43    0.21    0.15    0.03       93      85
 1997 226    79    77   21.8      5  2.285    921   1331    747    274   2252   3686    523   142.8  0.203   1434    408  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.83  52.06   0.39      0   1434  248.1   0.44   0.50   74.2   0.90    0.61    0.62    0.43    0.21    0.15    0.03       97      88
 1997 227    80    78   22.0      5  2.268    919   1345    794    271   2264   3743    547   145.2  0.212   1478    422  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.75  53.71   0.40      0   1478  246.7   0.44   0.50   74.2   0.90    0.61    0.61    0.43    0.21    0.15    0.03      100      90
 1997 228    81    79   22.2      5  2.267    922   1361    854    271   2284   3834    568   150.5  0.223   1550    436  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.70  55.10   0.40      0   1550  245.9   0.44   0.50   74.2   0.90    0.61    0.61    0.43    0.21    0.15    0.03      103      93
 1997 229    82    80   22.3      5  2.251    921   1375    917    268   2296   3907    589   155.7  0.235   1611    449  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.63  56.96   0.41      0   1611  244.5   0.45   0.50   74.2   0.90    0.60    0.61    0.43    0.21    0.14    0.03      106      95
 1997 230    83    81   22.4      5  2.248    922   1389    981    267   2312   3989    604   162.2  0.246   1678    462  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.58  58.45   0.42      0   1678  243.8   0.45   0.50   74.2   0.90    0.60    0.61    0.42    0.21    0.14    0.03      109      98
 1997 231    84    82   22.6      5  2.244    924   1405   1050    267   2329   4080    621   169.0  0.257   1750    472  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.53  59.99   0.43      0   1750  242.8   0.45   0.50   74.2   0.90    0.60    0.61    0.42    0.21    0.14    0.03      112     100
 1997 232    85    83   22.7      5  2.230    924   1423   1121    264   2347   4171    635   176.4  0.269   1824    465  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.46  61.46   0.44      0   1824  241.3   0.45   0.50   74.2   0.90    0.60    0.60    0.42    0.20    0.14    0.03      115     102
 1997 233    86    84   22.8      5  2.228    927   1438   1185    263   2365   4262    652   181.6  0.278   1897    474  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.42  62.47   0.45      0   1897  240.5   0.46   0.50   74.2   0.90    0.60    0.60    0.42    0.20    0.14    0.03      118     105
 1997 234    87    85   22.9      5  2.218    926   1451   1248    261   2377   4333    666   187.3  0.288   1956    467  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.36  63.79   0.45      0   1956  239.5   0.46   0.50   74.2   0.90    0.59    0.60    0.42    0.20    0.14    0.03      121     107
 1997 235    88    86   23.0      5  2.205    923   1455   1283    258   2378   4366    668   192.1  0.294   1988    463  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.31  64.52   0.46      0   1988  239.0   0.46   0.50   74.2   0.90    0.59    0.59    0.41    0.20    0.14    0.03      124     110
 1997 236    89    87   23.1      5  2.193    922   1468   1347    256   2390   4440    668   201.7  0.303   2050    460  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.25  65.70   0.46      0   2050  237.9   0.46   0.50   74.2   0.90    0.58    0.59    0.41    0.20    0.14    0.03      127     112
