*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:34
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 1997 198    51    49   1342 16.6810  0.1585  9.2824  3.4278  1.5640 0.69265  6.067 12.178 28.388 25.900  4.2651 50.9867 13.8562
 1997 199    52    50   1440 17.5901  0.1737  9.9286  3.6046  1.5768 0.74699  6.213 12.470 27.467 25.157  4.2736 50.9930 13.7968
 1997 200    53    51   1547 18.9876  0.1985 10.8037  3.8207  1.8242 0.82281  6.359 12.761 29.012 26.133  4.3201 50.9958 13.5036
 1997 201    54    52   1632 15.9116  0.2065  8.8417  3.2618  1.5414 0.66913  6.458 12.945 27.243 24.436  4.2797 50.9972 13.7550
 1997 202    55    53   1689 11.3562  0.2274  6.3338  2.2222  1.4445 0.41055  6.491 12.976 28.083 24.920  4.2726 50.9981 13.7985
 1997 203    56    54   1812 21.9888  0.2522 12.4852  4.4502  2.1265 1.01119  6.647 13.290 29.146 26.126  4.3041 50.9986 13.6011
 1997 204    57    55   1920 20.7446  0.2856 11.0080  4.3128  2.2966 0.93687  6.766 13.523 30.485 27.110  4.3501 50.9989 13.3129
 1997 205    58    56   2026 20.6645  0.3106 10.9399  4.3014  2.3244 0.93204  6.872 13.725 30.200 26.861  4.3765 50.9991 13.1478
 1997 206    59    57   2148 23.2925  0.3273 12.4096  4.9355  2.3178 1.10812  7.004 13.981 28.643 25.624  4.3684 50.9993 13.1984
 1997 207    60    58   2272 24.0945  0.3744 12.6197  5.0449  2.7387 1.16584  7.126 14.216 30.562 27.365  4.3976 50.9994 13.0156
 1997 208    61    59   2391 23.7943  0.4112 12.3049  4.9855  2.8999 1.13167  7.228 14.406 31.061 27.865  4.4299 50.9995 12.8139
 1997 209    62    60   2518 25.2644  0.4396 13.1170  5.3253  2.9649 1.22397  7.337 14.607 30.560 27.364  4.4462 50.9996 12.7117
 1997 210    63    61   2611 19.7408  0.4780 10.2279  4.1306  2.7055 0.81871  7.373 14.642 29.800 27.136  4.4552 50.9997 12.6554
 1997 211    64    62   2685 16.6999  0.4816  8.6528  3.5909  2.3528 0.54125  7.368 14.584 28.299 25.635  4.4377 50.9997 12.7646
 1997 212    65    63   2744 14.2337  0.4769  7.3381  3.1829  2.0423 0.33073  7.333 14.460 26.118 24.165  4.3991 50.9998 13.0061
 1997 213    66    64   2820 17.9943  0.5052  8.9420  4.1214  2.3751 0.49348  7.319 14.384 26.798 25.023  4.3810 50.9998 13.1192
 1997 214    67    65   2941 26.0727  0.5297 12.7625  5.8708  3.1435 1.11013  7.395 14.525 29.651 26.669  4.3901 50.9998 13.0623
 1997 215    68    66   3056 25.2933  0.5591 12.2369  5.6148  3.4283 1.07034  7.459 14.636 31.617 27.676  4.4099 50.9998 12.9380
 1997 216    69    67   3134 19.4972  0.6049  9.4370  4.4866  2.9629 0.50475  7.433 14.532 28.648 26.766  4.4163 50.9999 12.8984
 1997 217    70    68   3222 21.3851  0.5997 10.1751  5.0397  2.9892 0.61095  7.423 14.472 28.793 26.131  4.4137 50.9999 12.9147
 1997 218    71    69   3271 14.0458  0.5837  6.5686  3.4713  2.3688 0.38224  7.387 14.345 26.873 24.388  4.3897 50.9999 13.0642
 1997 219    72    70   3349 20.3793  0.6204  9.4095  4.9631  3.0244 0.52735  7.364 14.255 28.791 26.129  4.3900 50.9999 13.0623
 1997 220    73    71   3463 26.5755  0.6134 12.4134  6.4371  3.2689 0.90799  7.403 14.312 28.900 25.599  4.3843 50.9999 13.0980
 1997 221    74    72   3546 21.9816  0.6658  9.9567  5.3800  3.4405 0.58878  7.386 14.234 30.044 27.063  4.3951 50.9999 13.0310
 1997 222    75    73   3653 26.5050  0.6754 12.0836  6.5638  3.5528 0.77086  7.394 14.221 28.869 26.385  4.3975 50.9999 13.0155
 1997 223    76    74   3760 26.6864  0.6904 12.1275  6.6215  3.6721 0.78239  7.405 14.211 29.458 26.513  4.4010 50.9999 12.9941
 1997 224    77    75   3852 24.2273  0.7060 10.7465  6.1699  3.5034 0.69551  7.399 14.166 28.770 26.073  4.3997 50.9999 13.0020
 1997 225    78    76   3945 24.7980  0.7366 10.8761  6.2901  3.7998 0.71940  7.393 14.120 29.382 26.934  4.4065 50.9999 12.9596
 1997 226    79    77   4033 24.3141  0.7512 10.4706  6.1967  3.9474 0.71504  7.384 14.070 30.203 27.365  4.4161 50.9999 12.8995
